budget,size,seed,obj,acc,time,projects
200,0.03,67,3920.1160000000127,4945,208.10920429229736,"[13, 15, 45, 50]"
200,0.03,78,4217.580000000022,5485,160.549907207489,"[13, 15, 16, 50]"
200,0.03,89,3402.7990000000045,4387,250.21206736564636,"[13, 45, 50, 59]"
200,0.03,90,3985.260000000011,5067,256.0932409763336,"[13, 15, 16, 20]"
200,0.05,0,3985.260000000011,5067,393.6574137210846,"[13, 15, 16, 20]"
200,0.05,12,3985.260000000011,5067,352.72461581230164,"[13, 15, 16, 20]"
200,0.05,23,3726.2100000000028,4877,268.8899030685425,"[15, 21, 27, 66]"
200,0.05,34,3967.3980000000174,5181,379.15720653533936,"[13, 15, 53, 79]"
200,0.05,45,3542.7810000000045,4584,360.71697306632996,"[15, 20, 60, 61]"
200,0.05,56,3985.260000000011,5067,296.65656542778015,"[13, 15, 16, 20]"
200,0.05,67,3985.260000000011,5067,258.5565447807312,"[13, 15, 16, 20]"
200,0.05,78,3985.260000000011,5067,385.0656542778015,"[13, 15, 16, 20]"
200,0.05,89,3985.260000000011,5067,381.181184053421,"[13, 15, 16, 20]"
200,0.05,90,4326.347000000007,5771,394.1979036331177,"[21, 22, 66, 68]"
200,0.08,0,3985.260000000011,5067,575.829540014267,"[13, 15, 16, 20]"
200,0.08,12,3985.260000000011,5067,635.0521659851074,"[13, 15, 16, 20]"
200,0.08,23,3985.260000000011,5067,504.1381199359894,"[13, 15, 16, 20]"
200,0.08,34,3985.260000000011,5067,487.7096757888794,"[13, 15, 16, 20]"
200,0.08,45,3849.9299999999967,4999,524.6414244174957,"[15, 21, 22, 66]"
200,0.08,56,3985.260000000011,5067,564.1733953952789,"[13, 15, 16, 20]"
200,0.08,67,3590.898000000014,4567,506.35057044029236,"[15, 20, 51, 53]"
200,0.08,78,3985.260000000011,5067,642.321227312088,"[13, 15, 16, 20]"
200,0.08,89,3985.260000000011,5067,566.8598563671112,"[13, 15, 16, 20]"
200,0.08,90,3985.260000000011,5067,655.8558747768402,"[13, 15, 16, 20]"
200,0.1,0,4199.5250000000215,5630,799.523756980896,"[13, 15, 16, 22]"
200,0.1,12,3985.260000000011,5067,745.8908457756042,"[13, 15, 16, 20]"
200,0.1,23,3985.260000000011,5067,764.5929186344147,"[13, 15, 16, 20]"
200,0.1,34,3985.260000000011,5067,655.9116725921631,"[13, 15, 16, 20]"
200,0.1,45,4199.5250000000215,5630,982.3861713409424,"[13, 15, 16, 22]"
200,0.1,56,3985.260000000011,5067,683.3597867488861,"[13, 15, 16, 20]"
200,0.1,67,3985.260000000011,5067,617.2667241096497,"[13, 15, 16, 20]"
200,0.1,78,4199.5250000000215,5630,788.935964345932,"[13, 15, 16, 22]"
200,0.1,89,3985.260000000011,5067,708.553026676178,"[13, 15, 16, 20]"
200,0.1,90,3590.898000000014,4567,553.66712641716,"[15, 20, 51, 53]"
300,0.005,0,5785.055000000015,7175,54.85515236854553,"[12, 13, 21, 22, 45, 66]"
300,0.005,12,4288.691999999997,5904,42.74649429321289,"[12, 45, 59, 66, 67, 68]"
300,0.005,23,5442.993000000015,6782,37.35676455497742,"[12, 13, 20, 22, 45, 60]"
300,0.005,34,5075.770999999984,6623,46.47759461402893,"[20, 26, 32, 45, 60, 80]"
300,0.005,45,4986.6910000000025,6726,52.151402711868286,"[21, 22, 45, 68, 79, 80]"
300,0.005,56,5824.031000000003,7515,41.475513219833374,"[21, 22, 45, 66, 68, 73]"
300,0.005,67,4831.827000000001,6406,52.91880559921265,"[20, 22, 45, 60, 79, 80]"
300,0.005,78,5785.055000000015,7175,50.35802102088928,"[12, 13, 21, 22, 45, 66]"
300,0.005,89,5442.993000000015,6782,47.64532709121704,"[12, 13, 20, 22, 45, 60]"
300,0.005,90,5379.026000000009,6948,36.23285436630249,"[12, 13, 22, 60, 79, 80]"
300,0.01,0,4864.840999999973,6125,93.59056448936462,"[15, 20, 26, 32, 45, 80]"
300,0.01,12,5785.055000000015,7175,118.34451651573181,"[12, 13, 21, 22, 45, 66]"
300,0.01,23,5248.055999999975,6832,90.88527846336365,"[20, 26, 27, 32, 51, 60]"
300,0.01,34,5769.520000000004,7398,86.60986161231995,"[13, 15, 21, 26, 27, 32]"
300,0.01,45,4942.964999999984,6276,93.63183689117432,"[13, 14, 20, 26, 32, 80]"
300,0.01,56,5126.461999999981,6666,106.604576587677,"[20, 26, 32, 45, 60, 73]"
300,0.01,67,5442.993000000015,6782,114.42981171607971,"[12, 13, 20, 22, 45, 60]"
300,0.01,78,5730.519999999995,7262,102.70447969436646,"[13, 21, 22, 45, 66, 73]"
300,0.01,89,4982.69899999999,6738,99.10833787918091,"[16, 26, 27, 51, 60, 67, 80]"
300,0.01,90,5577.56899999997,7328,87.65276408195496,"[21, 26, 27, 32, 45, 60]"
300,0.03,0,6127.2570000000305,7640,512.917186498642,"[12, 13, 21, 22, 66, 68]"
300,0.03,12,4942.964999999984,6276,351.0842659473419,"[13, 14, 20, 26, 32, 80]"
300,0.03,23,5474.795000000002,6785,333.7205431461334,"[13, 15, 20, 26, 32, 53]"
300,0.03,34,6094.034000000023,7602,478.4516181945801,"[13, 21, 22, 45, 66, 68]"
300,0.03,45,5217.128000000021,6437,564.1321637630463,"[13, 15, 20, 50, 60, 61]"
300,0.03,56,6099.00000000004,7665,268.23706674575806,"[13, 15, 16, 21, 27, 66]"
300,0.03,67,5990.382000000038,7479,291.5512878894806,"[13, 15, 21, 27, 53, 66]"
300,0.03,78,6029.560000000014,7475,254.20028972625732,"[15, 21, 22, 27, 66, 68]"
300,0.03,89,5990.382000000038,7479,271.43246483802795,"[13, 15, 21, 27, 53, 66]"
300,0.03,90,5990.382000000038,7479,421.2948760986328,"[13, 15, 21, 27, 53, 66]"
300,0.05,0,5474.795000000002,6785,720.712690114975,"[13, 15, 20, 26, 32, 53]"
300,0.05,12,5474.795000000002,6785,564.0081310272217,"[13, 15, 20, 26, 32, 53]"
300,0.05,23,5924.332000000029,7586,681.7190852165222,"[15, 21, 27, 53, 66, 80]"
300,0.05,34,6029.560000000014,7475,515.2983894348145,"[15, 21, 22, 27, 66, 68]"
300,0.05,45,5567.9789999999975,6932,587.5390112400055,"[13, 15, 16, 20, 26, 32]"
300,0.05,56,5567.9789999999975,6932,462.8567364215851,"[13, 15, 16, 20, 26, 32]"
300,0.05,67,5567.9789999999975,6932,679.6233859062195,"[13, 15, 16, 20, 26, 32]"
300,0.05,78,6099.00000000004,7665,460.4968719482422,"[13, 15, 16, 21, 27, 66]"
300,0.05,89,5567.9789999999975,6932,714.1810331344604,"[13, 15, 16, 20, 26, 32]"
300,0.05,90,6094.034000000023,7602,535.8243451118469,"[13, 21, 22, 45, 66, 68]"
300,0.08,0,5567.9789999999975,6932,1664.3083477020264,"[13, 15, 16, 20, 26, 32]"
300,0.08,12,5990.382000000038,7479,680.219874382019,"[13, 15, 21, 27, 53, 66]"
300,0.08,23,5710.19100000001,7075,1211.5814571380615,"[15, 21, 22, 51, 66, 68]"
300,0.08,34,6073.3220000000365,7871,1405.9345018863678,"[15, 16, 21, 27, 28, 66, 80]"
300,0.08,45,6053.054000000024,7431,1656.7720744609833,"[13, 15, 21, 22, 66, 68]"
300,0.08,56,5990.382000000038,7479,779.5424146652222,"[13, 15, 21, 27, 53, 66]"
300,0.08,67,5710.19100000001,7075,1162.5317845344543,"[15, 21, 22, 51, 66, 68]"
300,0.08,78,6099.00000000004,7665,1355.1547331809998,"[13, 15, 16, 21, 27, 66]"
300,0.08,89,6029.560000000014,7475,925.9223132133484,"[15, 21, 22, 27, 66, 68]"
300,0.08,90,5865.883000000011,7171,1000.0475132465363,"[15, 21, 22, 45, 66, 68]"
300,0.1,0,6099.00000000004,7665,2071.244216442108,"[13, 15, 16, 21, 27, 66]"
300,0.1,12,6029.560000000014,7475,1006.0066170692444,"[15, 21, 22, 27, 66, 68]"
300,0.1,23,6073.3220000000365,7871,2330.319838285446,"[15, 16, 21, 27, 28, 66, 80]"
300,0.1,34,6099.00000000004,7665,1660.1699080467224,"[13, 15, 16, 21, 27, 66]"
300,0.1,45,6099.00000000004,7665,4402.26632976532,"[13, 15, 16, 21, 27, 66]"
300,0.1,56,6099.00000000004,7665,1207.8598449230194,"[13, 15, 16, 21, 27, 66]"
300,0.1,67,6099.00000000004,7665,2397.08899641037,"[13, 15, 16, 21, 27, 66]"
300,0.1,78,6099.00000000004,7665,1154.2542457580566,"[13, 15, 16, 21, 27, 66]"
300,0.1,89,6053.054000000024,7431,3526.5231869220734,"[13, 15, 21, 22, 66, 68]"
300,0.1,90,5924.332000000029,7586,2167.1829516887665,"[15, 21, 27, 53, 66, 80]"
400,0.005,0,5809.721999999982,7616,75.48776435852051,"[12, 26, 32, 45, 59, 66, 67, 68]"
400,0.005,12,5433.276999999987,7354,54.36712622642517,"[12, 45, 59, 66, 67, 68, 79, 80]"
400,0.005,23,7302.885000000002,9186,52.71159601211548,"[12, 13, 45, 60, 66, 67, 68, 73]"
400,0.005,34,7143.7299999999905,8850,66.50091409683228,"[13, 20, 26, 32, 45, 50, 60, 80]"
400,0.005,45,6574.0020000000095,8502,83.67705726623535,"[21, 22, 30, 45, 66, 68, 79, 80]"
400,0.005,56,7712.008000000025,9531,53.810486793518066,"[12, 13, 21, 22, 45, 66, 68, 73]"
400,0.005,67,6178.079999999982,7987,90.98130798339844,"[21, 22, 26, 30, 32, 45, 66, 80]"
400,0.005,78,7206.753000000017,8918,64.5760247707367,"[12, 13, 21, 22, 27, 45, 66, 79]"
