budget,size,seed,obj,acc,time,projects
400,0.005,56,6378.910999999991,8293,78.07401633262634,"[20, 26, 27, 32, 51, 60, 75, 78]"
400,0.005,67,5985.048000000033,7619,83.79502725601196,"[16, 21, 22, 35, 45, 51, 66, 68]"
400,0.005,78,7560.503000000039,9155,91.52351236343384,"[12, 13, 15, 21, 27, 53, 66, 75]"
400,0.005,89,7741.385000000044,9671,106.14267063140869,"[13, 15, 16, 21, 22, 26, 27, 32]"
400,0.005,90,6798.032000000019,8545,132.2603485584259,"[6, 7, 12, 16, 21, 27, 60, 61, 66]"
400,0.01,0,6609.988000000003,8418,186.27337169647217,"[15, 26, 30, 32, 60, 66, 67, 68]"
400,0.01,12,6121.266000000021,7868,143.32111239433289,"[15, 16, 21, 27, 50, 51, 57, 78]"
400,0.01,23,6991.677000000012,8700,216.70470356941223,"[15, 21, 50, 51, 60, 61, 66, 73]"
400,0.01,34,6186.6409999999705,8073,189.07095670700073,"[21, 22, 53, 66, 75, 78, 79, 80]"
400,0.01,45,7575.059000000048,9611,198.67303609848022,"[13, 15, 16, 21, 26, 27, 32, 78]"
400,0.01,56,6930.990000000018,8809,141.87532782554626,"[13, 21, 22, 26, 32, 61, 66, 78]"
400,0.01,67,7779.518000000035,9742,98.13278818130493,"[12, 13, 21, 22, 27, 66, 68, 80]"
400,0.01,78,7753.672000000044,9569,131.15072107315063,"[13, 15, 21, 27, 53, 66, 75, 80]"
400,0.01,89,7469.963000000016,9076,114.08361196517944,"[13, 15, 21, 22, 26, 27, 32, 66]"
400,0.01,90,7161.2460000000465,9035,164.1908884048462,"[6, 7, 13, 16, 21, 22, 27, 66, 68]"
400,0.02,0,7878.799000000028,9749,323.98958444595337,"[6, 12, 15, 16, 21, 27, 51, 66, 80]"
400,0.02,12,7790.02400000003,9600,626.33691239357,"[15, 16, 21, 27, 50, 51, 66, 75, 79]"
400,0.02,23,6933.6540000000205,8395,718.0450024604797,"[12, 15, 21, 27, 45, 60, 61, 66]"
400,0.02,34,7324.15000000002,9312,474.73039841651917,"[6, 12, 21, 22, 27, 66, 68, 80]"
400,0.02,45,7857.605000000029,9647,611.694226026535,"[13, 15, 21, 26, 27, 32, 53, 66]"
400,0.02,56,7824.056000000022,9649,351.84259366989136,"[15, 16, 21, 22, 27, 51, 61, 66, 80]"
400,0.02,67,7514.986000000024,9332,304.1361303329468,"[6, 13, 21, 22, 27, 61, 66, 79, 80]"
400,0.02,78,7160.034999999994,8939,466.3964011669159,"[6, 12, 15, 20, 26, 27, 32, 53]"
400,0.02,89,7571.396000000026,9300,1041.0652227401733,"[15, 16, 21, 22, 27, 50, 51, 66, 79]"
400,0.02,90,7332.180000000006,8908,830.8820552825928,"[15, 21, 22, 50, 57, 66, 68, 73]"
400,0.03,0,7730.491000000033,9673,1585.932823896408,"[15, 16, 21, 27, 51, 60, 61, 66, 80]"
400,0.03,12,7740.47500000004,9613,630.8349802494049,"[15, 16, 21, 26, 27, 32, 66, 75]"
400,0.03,23,7262.9650000000165,8791,1033.5966446399689,"[12, 15, 21, 22, 27, 45, 66, 68]"
400,0.03,34,7909.961000000048,9851,333.69369769096375,"[13, 15, 16, 21, 27, 28, 66, 75, 80]"
400,0.03,45,7536.406000000039,9377,445.49386954307556,"[13, 15, 16, 21, 24, 26, 27, 32]"
400,0.03,56,7880.433000000041,9730,1409.2441494464874,"[15, 16, 21, 27, 51, 66, 75, 79, 80]"
400,0.03,67,7711.2570000000305,9535,561.1328978538513,"[6, 13, 15, 16, 21, 22, 27, 66, 79]"
400,0.03,78,7925.506000000025,9869,946.5342020988464,"[6, 12, 15, 16, 21, 26, 27, 66, 80]"
400,0.03,89,7854.777000000031,9629,848.0640375614166,"[13, 15, 16, 21, 27, 50, 51, 66, 79]"
400,0.03,90,7716.590000000022,9729,809.3246991634369,"[12, 13, 21, 22, 32, 66, 68, 73]"
400,0.05,0,7943.05900000003,9694,1574.08091878891,"[13, 15, 21, 22, 26, 32, 66, 68]"
400,0.05,12,7561.434000000043,9494,3075.8402791023254,"[13, 16, 21, 27, 60, 61, 66, 79, 80]"
400,0.05,23,7851.775000000043,9755,4331.930404186249,"[13, 15, 16, 21, 27, 28, 66, 68, 80]"
400,0.05,34,7909.961000000048,9851,1884.3261275291443,"[13, 15, 16, 21, 27, 28, 66, 75, 80]"
400,0.05,45,7692.83900000004,9699,2891.8344361782074,"[15, 16, 21, 26, 27, 51, 66, 68, 80]"
400,0.05,56,7792.071000000027,9689,2941.8454887866974,"[13, 21, 22, 26, 32, 45, 66, 68]"
