budget,size,seed,obj,acc,time,projects
100,0.005,0,2720.5050000000047,3702,22.909843921661377,"[13, 60]"
100,0.005,12,2720.5050000000047,3702,20.15405797958374,"[13, 60]"
100,0.005,23,2720.5050000000047,3702,27.128287076950073,"[13, 60]"
100,0.005,34,2720.5050000000047,3702,25.769010066986084,"[13, 60]"
100,0.005,45,2720.5050000000047,3702,22.395330905914307,"[13, 60]"
100,0.005,56,2720.5050000000047,3702,24.740746021270752,"[13, 60]"
100,0.005,67,2375.6999999999916,3515,22.30567216873169,"[22, 60]"
100,0.005,78,2720.5050000000047,3702,24.45324397087097,"[13, 60]"
100,0.005,89,2720.5050000000047,3702,23.540926218032837,"[13, 60]"
100,0.005,90,2258.041000000003,3069,23.09241008758545,"[13, 50]"
100,0.01,0,2720.5050000000047,3702,59.716212034225464,"[13, 60]"
100,0.01,12,2720.5050000000047,3702,49.47488594055176,"[13, 60]"
100,0.01,23,2720.5050000000047,3702,49.09771704673767,"[13, 60]"
100,0.01,34,2720.5050000000047,3702,65.8014600276947,"[13, 60]"
100,0.01,45,2287.9689999999882,3415,40.95485496520996,"[60, 67]"
100,0.01,56,2720.5050000000047,3702,45.6299729347229,"[13, 60]"
100,0.01,67,2720.5050000000047,3702,51.55474090576172,"[13, 60]"
100,0.01,78,2267.144999999997,3252,51.728858947753906,"[20, 60]"
100,0.01,89,2720.5050000000047,3702,42.5040500164032,"[13, 60]"
100,0.01,90,2720.5050000000047,3702,49.90308094024658,"[13, 60]"
100,0.02,0,2720.5050000000047,3702,94.31861305236816,"[13, 60]"
100,0.02,12,2720.5050000000047,3702,84.0471248626709,"[13, 60]"
100,0.02,23,2720.5050000000047,3702,94.97863626480103,"[13, 60]"
100,0.02,34,2720.5050000000047,3702,115.23524308204651,"[13, 60]"
100,0.02,45,2720.5050000000047,3702,85.72647905349731,"[13, 60]"
100,0.02,56,2720.5050000000047,3702,87.74576115608215,"[13, 60]"
100,0.02,67,2720.5050000000047,3702,87.12570095062256,"[13, 60]"
100,0.02,78,2111.868999999997,3158,97.1793258190155,"[60, 68]"
100,0.02,89,2720.5050000000047,3702,86.61833310127258,"[13, 60]"
100,0.02,90,2720.5050000000047,3702,90.1546561717987,"[13, 60]"
100,0.03,0,2720.5050000000047,3702,148.1584279537201,"[13, 60]"
100,0.03,12,2720.5050000000047,3702,151.56212186813354,"[13, 60]"
100,0.03,23,2720.5050000000047,3702,144.36949801445007,"[13, 60]"
100,0.03,34,2720.5050000000047,3702,159.14880895614624,"[13, 60]"
100,0.03,45,2720.5050000000047,3702,163.13854002952576,"[13, 60]"
100,0.03,56,2720.5050000000047,3702,120.49340009689331,"[13, 60]"
100,0.03,67,2720.5050000000047,3702,141.28647685050964,"[13, 60]"
100,0.03,78,2720.5050000000047,3702,155.2391221523285,"[13, 60]"
100,0.03,89,2720.5050000000047,3702,142.0658130645752,"[13, 60]"
