DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,sum_score
35201448,503.0,1.455354106872614,0.021395972783385286,-0.7050613552560758,-0.03780073320990185,5.0,4.0,2.0,4.0,3.75
35201449,400.0,0.9341404864635943,-0.005387791918130991,-0.4044568003651839,-0.3529221814241635,5.0,3.0,2.0,3.0,3.25
35201450,593.0,1.1245694867858653,-0.3626587594669383,-0.47437725962089966,-0.3938571650672936,5.0,3.0,2.0,3.0,3.25
35201451,359.0,1.7984882206274775,-0.7926754500016832,-0.6801592263605789,-0.8053071240635719,5.0,1.0,2.0,1.0,2.25
35201452,1045.0,2.6185406849137234,-1.786265603157379,-1.4970081864935632,0.296275803335474,5.0,1.0,1.0,4.0,2.75
35201453,3777.0,3.242536410397688,-1.4509841575165723,-1.7157978784726733,0.3571844736295393,5.0,1.0,1.0,4.0,2.75
35201460,630.0,2.207908754627618,-0.6940646015793994,-0.9569535516387668,-0.4325031042440716,5.0,2.0,1.0,3.0,2.75
35201463,1196.0,2.2156782653754346,0.5566717364105183,-0.7246573635177127,1.1814717584604706,5.0,4.0,2.0,5.0,4.0
35201464,778.0,2.621786779944746,1.8737080185807975,-0.051267015284797934,1.2103866106096204,5.0,5.0,3.0,5.0,4.5
35201725,861.0,1.2222045315274148,-0.5996473811836264,-0.32077346391155226,0.478073348576484,5.0,2.0,2.0,4.0,3.25
35201104,467.0,1.2507673667640642,0.21478591092515803,1.250073652177911,0.7095505157255597,5.0,4.0,5.0,4.0,4.5
35201105,416.0,1.3371519797256908,-0.49140518459497373,-0.9177006349331207,0.11502960078163027,5.0,2.0,1.0,4.0,3.0
35201106,561.0,1.7159845183992095,-0.2129005608456917,-1.4604364692017553,-0.005969147587587709,5.0,3.0,1.0,4.0,3.25
35201107,814.0,2.539163597045831,-0.90332088914044,-0.9735223073344645,-0.10496708561636459,5.0,1.0,1.0,3.0,2.5
35203483,670.0,-0.08611270032739211,0.5717854847114034,-0.20727441521517248,0.7214776317447071,3.0,4.0,3.0,4.0,3.5
35203484,627.0,-0.2959093429858234,-0.14849157477640543,-0.28547617600414005,0.5507161755765378,3.0,3.0,3.0,4.0,3.25
35203485,399.0,-0.6484851863364729,-0.0471408657215705,-0.7647324397533057,0.7691257798655353,2.0,3.0,1.0,5.0,2.75
35203489,646.0,0.057533306989412177,0.26209378071148015,0.2710078647993914,0.1464654873673249,4.0,4.0,4.0,4.0,4.0
35200028,1174.0,-0.0442289595712132,1.7420190344599655,-0.7528689297872375,1.8701101801451483,4.0,5.0,1.0,5.0,3.75
35203503,4167.0,-0.7199077186790234,-0.33578171405771107,-0.7927282493075022,1.7260553128080458,2.0,3.0,1.0,5.0,2.75
35203504,237.0,0.17562337210723858,1.9039243273625899,0.14149522037211582,0.2461588170771059,4.0,5.0,4.0,4.0,4.25
35203505,509.0,0.12527801375470693,1.2236798849639976,-0.20340908427265786,1.6566725726067104,4.0,5.0,3.0,5.0,4.25
35203506,520.0,1.075610534618234,-0.15492111834879285,-0.3498842005785128,0.3726912163334054,5.0,3.0,2.0,4.0,3.5
35203507,398.0,-0.6445840484134022,0.08331016700199845,-0.30512169379313087,0.23064577307955325,2.0,4.0,3.0,4.0,3.25
35203508,564.0,-0.3509516216907882,0.1671186855349534,-0.6837706519799768,-0.5273796011627451,3.0,4.0,2.0,2.0,2.75
35203509,802.0,0.8813499447086478,0.5929881832574636,0.549473344437364,0.9117574800314158,5.0,4.0,4.0,5.0,4.5
35203510,415.0,2.538300670069057,2.297497817402898,3.448206845566223,1.1865944053143203,5.0,5.0,5.0,5.0,5.0
35203511,535.0,-0.0935293422804763,0.5821627707583353,-0.15728572104207947,1.040840778075553,3.0,4.0,3.0,5.0,3.75
35200034,791.0,-0.7692410872427096,-0.02316312181582761,-0.05011404600566388,1.6915302180655234,2.0,3.0,3.0,5.0,3.25
35200035,673.0,-0.40575396125633634,0.6675561270806316,-0.0036938358077572564,1.634353026141746,3.0,4.0,3.0,5.0,3.75
35200036,273.0,-0.1532627027517246,0.21027166780773826,-0.40987619619531385,2.222058440535902,3.0,4.0,2.0,5.0,3.5
35203258,523.0,-0.011883999899818885,0.6298735641047604,-0.2186879936099542,0.639269017201013,4.0,4.0,3.0,4.0,3.75
35203259,591.0,-0.2343592579486956,0.06760437109165778,-0.26737407281954784,0.2782850987206785,3.0,4.0,3.0,4.0,3.5
35203520,2766.0,1.2455426571407056,1.3084954476916906,-0.9942575381020768,3.447460133663105,5.0,5.0,1.0,5.0,4.0
35203521,1483.0,0.1332284011645823,-0.5627816280301445,0.48185046934765696,0.35396909228986234,4.0,2.0,4.0,4.0,3.5
35203522,812.0,0.4010863646032834,-0.04162768929851285,-0.5941993922183106,1.5058928344811344,4.0,3.0,2.0,5.0,3.5
35203523,386.0,0.32859010250813286,0.824094070379422,0.14294022896564118,0.995195549811219,4.0,5.0,4.0,5.0,4.5
35203525,483.0,-0.20500486461471604,-0.32710591149047485,-0.03990962745688853,0.7821562683049041,3.0,3.0,3.0,5.0,3.5
35203526,455.0,-0.5231217330175265,0.6155342880044905,0.5514706913008607,0.10189829410372162,2.0,4.0,4.0,4.0,3.5
35203527,870.0,0.46679733466194345,-0.7305947137719145,-0.013905042725410037,0.398947856113976,4.0,2.0,3.0,4.0,3.25
35201109,616.0,1.2889738007387936,-0.4536498560290733,-0.33886098775223167,-0.24148823385500873,5.0,2.0,2.0,3.0,3.0
35201110,827.0,1.4646950086015238,-0.6583952663994903,0.26905241792014023,-0.15102848821033235,5.0,2.0,4.0,3.0,3.5
35201111,527.0,0.5785864956988594,0.293076099618894,-0.9843508608380229,0.45259324450520905,4.0,4.0,1.0,4.0,3.25
35201112,464.0,0.4650971393369534,-0.2163908228693886,-0.8262598638255454,-0.1936681363824599,4.0,3.0,1.0,3.0,2.75
35201113,493.0,2.31934666185322,-0.0738039952114814,-1.2413009949386544,0.3473999899052899,5.0,3.0,1.0,4.0,3.25
35201114,540.0,1.503908167321348,0.2628799159159446,-1.109493881974081,0.5696704357278961,5.0,4.0,1.0,4.0,3.5
35201123,348.0,-0.10772449947927383,0.6127130629354938,-0.13089846198340768,0.4178476186649858,3.0,4.0,3.0,4.0,3.5
