budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,164425.69225563642,7.317425966262817,10.5,"[26, 27]"
100,0.01,12,164248.1235219008,7.680454730987549,10.5,"[58, 65]"
100,0.01,23,162314.8882362769,8.285805225372314,10.5,"[21, 60]"
100,0.01,34,164248.1235219008,5.4583704471588135,10.5,"[58, 65]"
100,0.01,45,164425.69225563642,6.993292331695557,10.5,"[26, 27]"
100,0.01,56,164712.4221579359,7.47999119758606,10.5,"[21, 22]"
100,0.01,67,164248.1235219008,8.992942810058594,10.5,"[58, 65]"
100,0.01,78,164425.69225563642,8.044511318206787,10.5,"[26, 27]"
100,0.01,89,164248.1235219008,8.387534379959106,10.5,"[58, 65]"
100,0.01,90,164248.1235219008,6.218336343765259,10.5,"[58, 65]"
100,0.02,0,164248.1235219008,18.6919686794281,21.0,"[58, 65]"
100,0.02,12,164248.1235219008,17.49420142173767,21.0,"[58, 65]"
100,0.02,23,164248.1235219008,19.966588735580444,21.0,"[58, 65]"
100,0.02,34,164248.1235219008,17.630836486816406,21.0,"[58, 65]"
100,0.02,45,164248.1235219008,18.270126581192017,21.0,"[58, 65]"
100,0.02,56,164248.1235219008,19.98055124282837,21.0,"[58, 65]"
100,0.02,67,164248.1235219008,23.793351888656616,21.0,"[58, 65]"
100,0.02,78,164248.1235219008,19.594552278518677,21.0,"[58, 65]"
100,0.02,89,164248.1235219008,17.662750959396362,21.0,"[58, 65]"
100,0.02,90,164248.1235219008,19.342230796813965,21.0,"[58, 65]"
100,0.03,0,164248.1235219008,45.42744469642639,31.5,"[58, 65]"
100,0.03,12,164248.1235219008,38.12800359725952,31.5,"[58, 65]"
100,0.03,23,164425.69225563642,46.49459409713745,31.5,"[26, 27]"
100,0.03,34,164248.1235219008,36.83446407318115,31.5,"[58, 65]"
100,0.03,45,164248.1235219008,49.00889730453491,31.5,"[58, 65]"
100,0.03,56,164248.1235219008,36.54221773147583,31.5,"[58, 65]"
100,0.03,67,164248.1235219008,45.07937169075012,31.5,"[58, 65]"
100,0.03,78,164248.1235219008,41.88093614578247,31.5,"[58, 65]"
100,0.03,89,164248.1235219008,33.4973623752594,31.5,"[58, 65]"
100,0.03,90,164712.4221579359,39.02460527420044,31.5,"[21, 22]"
100,0.04,0,164425.69225563642,358.485985994339,42.3,"[26, 27]"
100,0.04,12,164248.1235219008,55.253164291381836,42.3,"[58, 65]"
100,0.04,23,164425.69225563642,57.693634271621704,42.3,"[26, 27]"
100,0.04,34,164712.4221579359,259.93970680236816,42.3,"[21, 22]"
100,0.04,45,164248.1235219008,60.368478536605835,42.3,"[58, 65]"
100,0.04,56,164248.1235219008,311.2354826927185,42.3,"[58, 65]"
100,0.04,67,164425.69225563642,87.3672821521759,42.3,"[26, 27]"
100,0.04,78,164425.69225563642,200.0139422416687,42.3,"[26, 27]"
100,0.04,89,164712.4221579359,317.75106287002563,42.3,"[21, 22]"
100,0.04,90,164425.69225563642,65.50773334503174,42.3,"[26, 27]"
100,0.05,0,164248.1235219008,215.5863537788391,52.8,"[58, 65]"
100,0.05,12,164712.4221579359,644.1250996589661,52.8,"[21, 22]"
100,0.05,23,164248.1235219008,321.3862295150757,52.8,"[58, 65]"
100,0.05,34,164425.69225563642,433.68491983413696,52.8,"[26, 27]"
100,0.05,45,164712.4221579359,431.84777569770813,52.8,"[21, 22]"
100,0.05,56,164712.4221579359,360.15089106559753,52.8,"[21, 22]"
100,0.05,67,164712.4221579359,593.1534199714661,52.8,"[21, 22]"
100,0.05,78,164248.1235219008,420.93695044517517,52.8,"[58, 65]"
100,0.05,89,164712.4221579359,361.6425428390503,52.8,"[21, 22]"
100,0.05,90,164712.4221579359,411.7804841995239,52.8,"[21, 22]"
300,0.01,0,178468.06878101337,9.08666443824768,10.5,"[19, 20, 21, 22, 54, 61]"
300,0.01,12,182592.78721991327,13.823023557662964,10.5,"[8, 9, 10, 51, 58, 65]"
300,0.01,23,173047.06867386107,10.893828392028809,10.5,"[14, 15, 16, 60, 67, 74]"
300,0.01,34,187554.97117318457,8.340659379959106,10.5,"[7, 26, 27, 28, 51, 58, 65]"
300,0.01,45,187554.97117318457,12.419747114181519,10.5,"[7, 26, 27, 28, 51, 58, 65]"
300,0.01,56,182659.78132838203,23.63975954055786,10.5,"[8, 9, 51, 58, 65, 72]"
300,0.01,67,170024.53138766,26.016403436660767,10.5,"[13, 14, 15, 60, 67, 74]"
300,0.01,78,182659.78132838203,20.17500138282776,10.5,"[8, 9, 51, 58, 65, 72]"
300,0.01,89,170024.53138766,15.462604999542236,10.5,"[13, 14, 15, 60, 67, 74]"
300,0.01,90,170024.53138766,15.342926979064941,10.5,"[13, 14, 15, 60, 67, 74]"
300,0.02,0,187554.97117318457,51.810373067855835,21.0,"[7, 26, 27, 28, 51, 58, 65]"
300,0.02,12,186537.65009832836,47.93474102020264,21.0,"[9, 26, 27, 28, 51, 58, 65]"
