budget,size,seed,obj,time,loss_bound,projects
100,0.05,67,164425.69225563642,289.1069667339325,52.8,"[26, 27]"
100,0.05,78,164712.4221579359,457.46087741851807,52.8,"[21, 22]"
100,0.05,89,164712.4221579359,313.39355063438416,52.8,"[21, 22]"
100,0.05,90,164712.4221579359,556.9365091323853,52.8,"[21, 22]"
300,0.01,0,177977.39425646738,16.725594758987427,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,12,177977.39425646738,16.8002610206604,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,23,177330.28005401106,2.019148111343384,10.5,"[7, 20, 21, 22, 51, 58]"
300,0.01,34,176549.9218587812,16.80687427520752,10.5,"[21, 22, 28, 54, 61, 68]"
300,0.01,45,179605.16078010597,18.8005051612854,10.5,"[15, 16, 26, 27, 28, 59, 65]"
300,0.01,56,181610.40134467656,23.66295313835144,10.5,"[21, 26, 52, 59, 66, 73]"
300,0.01,67,177977.39425646738,16.684046030044556,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,78,179640.91311744702,7.920177698135376,10.5,"[7, 8, 52, 59, 66, 73]"
300,0.01,89,181858.88598882116,19.41933536529541,10.5,"[24, 25, 26, 27, 28, 58]"
300,0.01,90,174017.75852571314,9.898482084274292,10.5,"[10, 26, 27, 53, 60, 67]"
300,0.02,0,187554.97117318457,62.000688791275024,21.0,"[7, 26, 27, 28, 51, 58, 65]"
300,0.02,12,182104.98693757158,200.82997822761536,21.0,"[32, 33, 51, 58, 65, 72]"
300,0.02,23,179761.37531711857,131.9175000190735,21.0,"[15, 16, 52, 59, 66, 73]"
300,0.02,34,175336.76520275613,64.89989757537842,21.0,"[2, 13, 44, 51, 58, 65]"
300,0.02,45,180583.18594086866,51.159961462020874,21.0,"[24, 25, 26, 27, 28, 63]"
300,0.02,56,182722.72220364018,61.435460805892944,21.0,"[15, 16, 26, 27, 28, 59, 66]"
300,0.02,67,181413.25819820387,104.6190550327301,21.0,"[24, 25, 26, 27, 28, 73]"
300,0.02,78,179974.6084687156,63.16939067840576,21.0,"[7, 8, 9, 10, 54, 61]"
300,0.02,89,181413.25819820387,104.46760773658752,21.0,"[24, 25, 26, 27, 28, 73]"
300,0.02,90,176101.89692283602,86.22899270057678,21.0,"[32, 33, 34, 59, 66, 73]"
300,0.03,0,185240.3214066418,506.98994398117065,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,12,185240.3214066418,311.80892848968506,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,23,180168.6528026517,283.6319077014923,31.5,"[6, 7, 8, 9, 10, 11]"
300,0.03,34,181330.13393688053,1089.8349635601044,31.5,"[6, 7, 8, 9, 10, 44, 49]"
300,0.03,45,182566.0601952289,537.1577548980713,31.5,"[6, 7, 8, 9, 10, 49, 61]"
300,0.03,56,184154.41210566822,642.5648119449615,31.5,"[16, 26, 27, 28, 59, 66, 73]"
300,0.03,67,180980.92127055104,425.4914708137512,31.5,"[24, 25, 26, 27, 28, 67]"
300,0.03,78,180168.6528026517,278.4760744571686,31.5,"[6, 7, 8, 9, 10, 11]"
300,0.03,89,180980.92127055104,427.0902497768402,31.5,"[24, 25, 26, 27, 28, 67]"
300,0.03,90,184211.8825538808,507.4180648326874,31.5,"[25, 26, 27, 28, 61, 68]"
300,0.04,0,182592.78721991327,631.0632619857788,42.3,"[8, 9, 10, 51, 58, 65]"
