DA,curr_acc,tot_acc,score,Marginalization Group
13452716,2830,137615,0.9375,5
13452471,2740,136955,0.875,5
13452376,550,127055,0.75,4
13452873,665,141370,0.625,3
30102540,181275,617640,0.6875,3
13467016,50,626135,0.5625,2
13456111,2405,50240,0.5,2
13455556,2775,51580,0.1875,1
13456746,2750,63020,0.375,1
13455985,2625,69875,0.625,3
30097365,590,94005,0.9375,5
30044176,1190,73320,0.8125,5
13445724,570,107925,1.0,5
13444941,0,71345,0.6875,3
30038738,428270,672770,0.625,3
30042272,183370,527465,0.4375,1
30060154,865,75880,0.5625,2
13457108,2815,71370,0.625,3
13456845,2650,69105,0.75,4
13456197,2815,65770,0.5625,2
30037218,2760,71670,0.625,3
13455387,2770,78240,0.625,3
13455444,2740,73945,0.75,4
13454864,2765,85525,0.5625,2
13454218,0,80815,0.4375,1
13454751,2705,62090,0.625,3
13455037,2815,57180,0.4375,1
13454323,2750,65380,0.5,2
13466707,80,631405,0.5,2
13466631,345860,636815,0.6875,3
14019054,346555,635625,0.5,2
14042716,347350,639075,0.6875,3
13466045,376115,643675,0.5,2
14042147,349430,633755,0.625,3
14017809,349230,628340,0.5625,2
14675137,346780,606365,0.8125,5
13465302,347265,617070,0.625,3
14063771,345490,615745,0.75,4
13464946,212785,563670,0.4375,1
13468580,1105,55990,0.625,3
30092956,1275,112020,0.6875,3
30098068,427360,662480,0.5,2
14608149,420,618770,0.375,1
14064670,1480,609070,0.5625,2
14037148,1310,620220,0.5,2
20038763,60270,601100,0.8125,5
20038870,65275,603890,0.4375,1
20050311,305,97640,0.6875,3
13453214,110,96770,0.5625,2
13452912,80,104425,1.0,5
13451742,12785,108370,0.75,4
13451511,12785,99655,0.75,4
13454076,2490,69970,0.4375,1
13454192,0,81005,0.625,3
13453538,0,84655,0.5625,2
13452653,7395,119000,0.625,3
13451810,12735,107595,0.6875,3
13452539,12785,110945,0.75,4
13451372,12785,106435,0.75,4
13443181,635,68930,0.8125,5
13445944,660,106830,0.625,3
13446830,660,117460,0.75,4
13448125,12680,93385,0.625,3
13448161,12680,93715,0.75,4
13447638,5050,91715,0.75,4
13448001,10240,104375,0.6875,3
13456496,2560,69240,0.75,4
13451698,12670,103875,0.875,5
30103196,12630,106900,0.875,5
13452135,12785,106195,0.6875,3
13452461,12785,106385,0.6875,3
13452643,12645,104915,1.0,5
13467990,3850,77205,0.4375,1
13468177,3900,86480,0.375,1
13468162,3800,92190,0.4375,1
13467405,3800,92685,0.5,2
13469391,1360,63125,0.6875,3
13469321,1390,62850,0.1875,1
13469461,1505,54010,0.375,1
30072753,1425,54250,0.75,4
13468398,115,52015,0.6875,3
13468329,50,46445,0.8125,5
13467809,115,44240,0.4375,1
13467697,1365,51760,0.5,2
