budget,job_acc,projects
80,70027345,"[76, 79, 147, 161, 211, 212, 227, 328, 409, 416, 422, 569, 734, 837, 901, 925, 993, 994, 996, 997, 1014, 1033, 1034, 1043, 1044, 1093, 1126, 1164, 1217, 1239, 1279]"
120,71449785,"[71, 76, 79, 147, 161, 211, 212, 227, 328, 353, 374, 414, 422, 463, 569, 599, 644, 734, 901, 920, 925, 927, 979, 996, 997, 1009, 1014, 1015, 1017, 1024, 1033, 1034, 1043, 1044, 1093, 1126, 1152, 1158, 1164, 1211, 1217, 1279]"
200,75212025,"[12, 13, 59, 71, 73, 76, 79, 155, 211, 212, 217, 222, 227, 249, 259, 262, 269, 328, 353, 368, 374, 422, 430, 463, 472, 478, 509, 560, 568, 569, 596, 600, 630, 654, 694, 708, 726, 837, 840, 901, 908, 917, 918, 920, 925, 937, 942, 944, 978, 993, 994, 995, 996, 997, 1014, 1020, 1024, 1034, 1043, 1044, 1093, 1126, 1158, 1164, 1183, 1191, 1203, 1210, 1217, 1235, 1252, 1264, 1279, 1284, 1287, 1294]"
400,129312835,"[4, 5, 6, 12, 13, 59, 76, 77, 79, 115, 118, 147, 154, 155, 156, 161, 192, 193, 211, 212, 222, 227, 236, 269, 279, 284, 313, 320, 328, 333, 334, 344, 345, 354, 374, 376, 377, 409, 413, 422, 427, 430, 437, 463, 478, 488, 509, 513, 560, 568, 569, 588, 598, 614, 619, 620, 632, 644, 684, 694, 695, 699, 708, 709, 718, 743, 753, 768, 780, 785, 804, 834, 838, 901, 909, 917, 925, 944, 967, 995, 996, 997, 1000, 1001, 1011, 1014, 1015, 1017, 1024, 1026, 1033, 1034, 1039, 1043, 1044, 1072, 1073, 1078, 1093, 1111, 1152, 1158, 1162, 1164, 1171, 1183, 1217, 1228, 1246, 1250, 1252, 1265, 1273, 1274, 1279]"
40,28815645,"[76, 79, 227, 409, 416, 569, 837, 901, 925, 993, 994, 1014, 1164, 1217, 1251, 1279]"
160,67383410,"[12, 13, 53, 71, 76, 79, 118, 147, 148, 154, 161, 211, 212, 227, 296, 353, 369, 409, 416, 422, 569, 587, 699, 708, 821, 834, 837, 839, 840, 898, 901, 908, 925, 937, 993, 994, 996, 997, 1014, 1017, 1024, 1033, 1035, 1043, 1044, 1052, 1061, 1070, 1072, 1093, 1158, 1164, 1217, 1279]"
240,100467430,"[12, 13, 18, 58, 71, 76, 79, 116, 117, 118, 147, 156, 161, 163, 211, 212, 227, 229, 279, 328, 353, 366, 374, 409, 416, 422, 430, 463, 560, 569, 598, 599, 600, 630, 631, 639, 644, 699, 708, 725, 768, 834, 837, 901, 908, 925, 937, 967, 993, 994, 995, 996, 997, 1009, 1014, 1015, 1017, 1024, 1033, 1034, 1035, 1043, 1044, 1072, 1093, 1158, 1164, 1217, 1264, 1279]"
360,98986670,"[5, 6, 12, 13, 18, 59, 71, 74, 75, 76, 79, 156, 161, 192, 193, 202, 211, 212, 217, 227, 247, 249, 260, 262, 269, 310, 313, 320, 331, 344, 356, 367, 374, 376, 378, 414, 422, 430, 437, 463, 489, 490, 509, 559, 568, 569, 588, 598, 599, 600, 613, 677, 694, 696, 699, 708, 710, 726, 746, 748, 749, 756, 768, 780, 786, 834, 837, 854, 894, 908, 917, 918, 919, 925, 937, 943, 944, 978, 993, 994, 995, 996, 997, 998, 1000, 1011, 1014, 1024, 1033, 1034, 1043, 1044, 1069, 1072, 1073, 1078, 1093, 1126, 1158, 1163, 1164, 1183, 1204, 1212, 1217, 1226, 1252, 1264, 1279]"
280,79516390,"[18, 76, 79, 120, 147, 148, 156, 161, 211, 212, 227, 229, 232, 249, 262, 279, 320, 328, 374, 422, 463, 465, 478, 509, 560, 568, 569, 598, 600, 614, 615, 618, 620, 662, 686, 691, 718, 726, 734, 736, 785, 854, 873, 878, 901, 917, 919, 920, 925, 927, 933, 978, 994, 1009, 1014, 1024, 1027, 1043, 1044, 1052, 1072, 1093, 1164, 1181, 1182, 1209, 1210, 1217, 1248, 1252, 1264, 1265]"
320,98779285,"[18, 58, 74, 76, 79, 88, 147, 148, 154, 161, 205, 211, 212, 223, 227, 229, 249, 260, 262, 296, 318, 320, 356, 367, 374, 409, 414, 415, 416, 422, 430, 463, 490, 509, 560, 568, 569, 588, 595, 599, 600, 619, 625, 631, 632, 639, 662, 670, 679, 691, 699, 705, 709, 717, 725, 726, 735, 768, 830, 834, 873, 901, 917, 918, 920, 925, 933, 937, 944, 978, 994, 995, 996, 1009, 1014, 1024, 1027, 1034, 1043, 1044, 1054, 1070, 1093, 1164, 1181, 1203, 1209, 1212, 1228, 1243, 1251, 1252, 1264, 1287]"
