budget,job_acc,projects
120,58491315,"[76, 148, 155, 227, 328, 333, 334, 367, 374, 377, 378, 409, 416, 465, 625, 694, 709, 901, 925, 927, 937, 957, 993, 994, 996, 1011, 1014, 1015, 1033, 1034, 1035, 1043, 1044, 1073, 1089, 1090, 1093, 1158, 1162, 1217, 1239, 1247, 1252, 1279]"
200,77992885,"[12, 13, 58, 76, 155, 156, 161, 164, 202, 211, 212, 227, 247, 248, 262, 313, 328, 353, 356, 367, 374, 409, 416, 463, 465, 509, 560, 569, 599, 600, 630, 684, 708, 709, 710, 718, 726, 734, 837, 901, 908, 917, 925, 937, 993, 994, 997, 1011, 1014, 1024, 1043, 1044, 1078, 1093, 1158, 1163, 1217, 1239, 1247, 1251, 1252, 1264, 1279]"
400,104451900,"[17, 18, 58, 59, 76, 112, 149, 155, 161, 164, 190, 191, 212, 227, 278, 320, 328, 348, 350, 360, 366, 374, 389, 413, 428, 430, 436, 437, 463, 465, 469, 478, 485, 489, 490, 513, 568, 569, 581, 598, 599, 600, 617, 620, 630, 632, 639, 641, 644, 679, 691, 694, 695, 699, 708, 709, 717, 734, 743, 757, 834, 838, 901, 902, 908, 909, 910, 918, 925, 926, 933, 937, 947, 960, 967, 993, 994, 997, 1014, 1018, 1024, 1027, 1043, 1070, 1090, 1093, 1094, 1095, 1150, 1158, 1181, 1212, 1217, 1239, 1241, 1247, 1251, 1252, 1266, 1279, 1294]"
80,58256785,"[58, 76, 122, 161, 211, 212, 227, 328, 333, 334, 353, 367, 374, 377, 709, 837, 901, 925, 937, 1014, 1015, 1033, 1034, 1043, 1044, 1093, 1158, 1163, 1217, 1239, 1251, 1252, 1264, 1279]"
40,36764905,"[148, 227, 328, 333, 334, 367, 377, 409, 416, 709, 837, 901, 925, 937, 1014, 1073, 1162, 1247, 1252, 1279]"
160,76946690,"[12, 13, 58, 76, 149, 211, 212, 227, 318, 319, 328, 333, 334, 353, 367, 374, 377, 409, 416, 465, 485, 509, 559, 600, 630, 644, 684, 695, 709, 726, 837, 901, 908, 909, 917, 918, 919, 925, 937, 993, 994, 996, 997, 1014, 1015, 1024, 1043, 1044, 1073, 1093, 1158, 1162, 1163, 1217, 1239, 1247, 1252, 1264, 1279]"
240,76330160,"[6, 12, 13, 58, 71, 76, 79, 101, 112, 149, 155, 161, 164, 182, 193, 211, 212, 227, 249, 262, 271, 350, 351, 354, 367, 374, 409, 416, 452, 465, 478, 485, 509, 513, 560, 568, 569, 630, 694, 708, 709, 726, 733, 743, 754, 837, 901, 917, 919, 925, 937, 967, 993, 994, 995, 996, 1011, 1014, 1015, 1024, 1035, 1043, 1044, 1052, 1078, 1093, 1158, 1162, 1209, 1212, 1214, 1217, 1247, 1252, 1264, 1279]"
360,100516600,"[18, 58, 76, 77, 86, 88, 112, 113, 147, 148, 154, 155, 161, 162, 163, 182, 190, 191, 212, 227, 229, 232, 269, 278, 328, 348, 350, 367, 369, 374, 409, 413, 416, 430, 436, 437, 464, 465, 478, 485, 509, 559, 568, 569, 576, 600, 625, 656, 679, 691, 694, 708, 709, 718, 726, 734, 743, 756, 780, 901, 909, 920, 925, 933, 937, 943, 944, 967, 977, 993, 994, 995, 996, 997, 1000, 1014, 1015, 1023, 1026, 1027, 1033, 1035, 1039, 1043, 1044, 1054, 1056, 1072, 1073, 1093, 1103, 1158, 1181, 1212, 1251, 1252, 1264, 1266]"
280,83296990,"[12, 13, 58, 59, 71, 76, 114, 115, 149, 156, 161, 164, 193, 203, 211, 212, 227, 260, 271, 278, 297, 313, 334, 351, 367, 369, 374, 413, 414, 421, 422, 427, 465, 485, 489, 509, 559, 569, 600, 601, 615, 619, 625, 630, 656, 677, 684, 686, 694, 695, 708, 709, 718, 726, 746, 781, 837, 839, 840, 870, 895, 901, 909, 918, 919, 925, 926, 937, 944, 978, 996, 997, 1014, 1015, 1024, 1043, 1044, 1052, 1056, 1068, 1072, 1090, 1093, 1127, 1133, 1143, 1158, 1163, 1171, 1196, 1217, 1221, 1239, 1247, 1251, 1252, 1253, 1257, 1264, 1279]"
320,87242445,"[18, 58, 76, 79, 115, 149, 155, 161, 164, 190, 191, 211, 212, 227, 278, 327, 330, 348, 350, 353, 374, 413, 416, 422, 430, 436, 437, 465, 485, 489, 490, 509, 569, 600, 601, 644, 656, 662, 684, 691, 694, 708, 709, 718, 726, 732, 734, 743, 751, 814, 837, 873, 878, 901, 909, 925, 926, 933, 937, 942, 947, 967, 977, 979, 993, 994, 1000, 1011, 1014, 1015, 1024, 1026, 1033, 1035, 1043, 1044, 1072, 1078, 1093, 1103, 1158, 1181, 1217, 1251, 1252, 1264, 1266, 1279]"
