budget,job_acc,projects
120,67590710,"[59, 70, 74, 76, 79, 118, 122, 147, 149, 161, 211, 212, 320, 421, 463, 478, 489, 513, 662, 677, 710, 728, 735, 901, 912, 925, 994, 996, 1015, 1023, 1043, 1070, 1094, 1103, 1217, 1228, 1239, 1243]"
200,88462835,"[59, 70, 71, 76, 79, 147, 149, 161, 163, 202, 212, 227, 296, 320, 327, 333, 334, 351, 377, 378, 463, 466, 489, 490, 509, 513, 559, 598, 609, 631, 691, 694, 708, 710, 726, 820, 912, 925, 933, 942, 944, 967, 996, 1043, 1044, 1073, 1093, 1152, 1162, 1164, 1171, 1181, 1212, 1217, 1228, 1243, 1246, 1247, 1273, 1274]"
400,119491710,"[12, 13, 18, 30, 31, 59, 74, 76, 79, 86, 88, 112, 147, 155, 161, 162, 171, 182, 202, 203, 212, 260, 262, 268, 320, 325, 328, 332, 333, 334, 353, 374, 376, 377, 414, 421, 422, 463, 489, 509, 513, 534, 560, 568, 574, 575, 588, 598, 599, 607, 608, 630, 654, 677, 697, 699, 708, 709, 710, 717, 718, 726, 734, 735, 743, 768, 780, 781, 804, 805, 813, 820, 830, 834, 835, 838, 901, 912, 914, 917, 918, 919, 925, 937, 944, 967, 978, 987, 993, 994, 996, 1000, 1010, 1011, 1014, 1024, 1027, 1043, 1044, 1052, 1070, 1073, 1090, 1112, 1134, 1155, 1158, 1162, 1163, 1164, 1171, 1217, 1228, 1242, 1243, 1247, 1274, 1279]"
80,61575500,"[71, 76, 79, 147, 149, 161, 212, 227, 409, 416, 463, 489, 513, 656, 709, 718, 901, 912, 925, 1024, 1073, 1162, 1217, 1228, 1242, 1243, 1247, 1251, 1279]"
40,27826300,"[58, 79, 149, 227, 463, 489, 513, 656, 677, 901, 912, 925, 1015, 1017, 1242, 1252]"
160,81236560,"[58, 76, 79, 147, 149, 162, 164, 211, 212, 227, 320, 327, 353, 356, 409, 416, 422, 463, 489, 490, 513, 598, 599, 662, 677, 691, 708, 709, 735, 820, 837, 901, 912, 917, 918, 919, 925, 933, 944, 994, 996, 1009, 1015, 1043, 1044, 1073, 1103, 1127, 1162, 1181, 1212, 1217, 1228, 1242, 1243, 1247, 1251, 1252]"
240,93617475,"[58, 73, 76, 79, 147, 148, 149, 162, 202, 205, 217, 227, 268, 271, 320, 328, 333, 334, 354, 360, 374, 377, 414, 421, 422, 463, 478, 489, 559, 568, 598, 647, 691, 699, 708, 709, 710, 717, 718, 725, 734, 746, 754, 813, 834, 839, 840, 894, 901, 908, 912, 918, 919, 925, 927, 933, 937, 995, 996, 1014, 1018, 1023, 1024, 1033, 1035, 1043, 1044, 1072, 1073, 1078, 1089, 1090, 1093, 1103, 1127, 1133, 1162, 1164, 1171, 1181, 1191, 1211, 1212, 1217, 1220, 1228, 1243, 1246, 1247, 1249, 1264, 1283]"
360,120613785,"[30, 31, 58, 71, 74, 76, 79, 86, 88, 147, 148, 155, 161, 162, 171, 182, 211, 212, 217, 222, 227, 231, 248, 267, 271, 296, 318, 320, 327, 353, 355, 360, 366, 368, 374, 409, 413, 414, 416, 422, 430, 436, 437, 463, 464, 489, 490, 513, 538, 558, 568, 569, 572, 587, 598, 599, 630, 631, 643, 647, 691, 694, 696, 699, 708, 709, 724, 734, 736, 756, 768, 820, 834, 839, 894, 901, 912, 914, 917, 918, 919, 925, 933, 942, 944, 976, 979, 993, 994, 1009, 1014, 1015, 1017, 1018, 1023, 1024, 1044, 1052, 1070, 1072, 1093, 1112, 1127, 1158, 1163, 1164, 1181, 1217, 1220, 1221, 1228, 1235, 1239, 1243, 1247, 1249, 1251, 1252, 1266, 1279]"
280,87158120,"[59, 71, 76, 79, 86, 156, 202, 211, 212, 227, 248, 296, 320, 327, 328, 333, 334, 353, 356, 367, 374, 376, 377, 378, 409, 414, 422, 430, 436, 437, 463, 489, 490, 509, 510, 568, 576, 598, 599, 605, 677, 691, 699, 708, 709, 710, 718, 768, 820, 834, 901, 908, 912, 917, 918, 919, 933, 937, 942, 944, 993, 994, 996, 1009, 1014, 1024, 1043, 1044, 1073, 1162, 1164, 1171, 1181, 1211, 1212, 1217, 1228, 1243, 1246, 1247, 1252, 1264, 1266]"
320,68716920,"[38, 58, 70, 74, 76, 77, 79, 86, 88, 118, 121, 148, 149, 161, 163, 182, 190, 191, 212, 213, 259, 262, 279, 296, 320, 344, 350, 374, 376, 409, 416, 422, 438, 452, 463, 478, 486, 489, 509, 513, 568, 574, 596, 598, 599, 632, 662, 677, 691, 697, 699, 708, 709, 726, 751, 780, 825, 834, 838, 877, 901, 913, 918, 925, 933, 994, 995, 996, 997, 1010, 1011, 1017, 1023, 1024, 1036, 1043, 1044, 1052, 1078, 1084, 1127, 1133, 1156, 1158, 1164, 1212, 1227, 1228, 1243, 1248, 1251, 1252, 1264, 1266]"
