budget,job_acc,projects
80,48977660,"[76, 118, 149, 155, 161, 211, 212, 227, 409, 416, 708, 718, 830, 837, 901, 925, 979, 993, 994, 996, 1015, 1017, 1024, 1043, 1044, 1091, 1093, 1158, 1178, 1217, 1239, 1252, 1264, 1279]"
120,63883250,"[6, 59, 76, 79, 118, 147, 149, 161, 212, 227, 422, 435, 489, 513, 600, 654, 656, 708, 718, 754, 755, 820, 837, 901, 917, 918, 925, 967, 996, 997, 1015, 1017, 1024, 1043, 1044, 1073, 1089, 1093, 1144, 1152, 1162, 1217, 1221, 1228, 1243, 1247, 1252, 1279]"
200,99962375,"[76, 79, 148, 149, 155, 161, 211, 212, 227, 296, 318, 320, 328, 353, 355, 374, 409, 416, 466, 489, 513, 568, 599, 600, 630, 632, 639, 656, 662, 684, 691, 708, 734, 736, 820, 837, 901, 908, 912, 918, 925, 933, 937, 942, 953, 977, 979, 994, 996, 997, 1015, 1017, 1024, 1043, 1044, 1073, 1078, 1158, 1162, 1181, 1212, 1217, 1228, 1239, 1242, 1243, 1247, 1279]"
400,127326760,"[18, 30, 58, 76, 79, 86, 88, 120, 121, 147, 148, 155, 161, 182, 202, 211, 212, 222, 227, 229, 231, 268, 279, 296, 320, 328, 333, 334, 366, 367, 368, 374, 376, 377, 409, 413, 414, 416, 422, 430, 463, 465, 466, 472, 489, 513, 527, 568, 599, 600, 615, 617, 631, 639, 643, 647, 674, 682, 684, 685, 691, 699, 708, 710, 718, 725, 736, 743, 768, 831, 834, 877, 894, 901, 908, 912, 925, 933, 937, 944, 967, 977, 993, 994, 995, 996, 1010, 1014, 1015, 1017, 1023, 1024, 1026, 1039, 1043, 1044, 1072, 1073, 1089, 1090, 1094, 1127, 1158, 1162, 1164, 1171, 1182, 1217, 1242, 1246, 1247, 1264, 1273, 1274]"
40,32767285,"[118, 149, 161, 227, 409, 416, 708, 718, 837, 901, 925, 996, 1015, 1158, 1217, 1251, 1252, 1264, 1279]"
160,83345115,"[18, 59, 76, 79, 118, 148, 149, 212, 227, 259, 320, 328, 354, 369, 414, 478, 538, 568, 600, 632, 644, 684, 691, 708, 727, 785, 837, 901, 925, 933, 944, 993, 994, 996, 1015, 1017, 1023, 1024, 1043, 1044, 1052, 1073, 1093, 1103, 1162, 1181, 1212, 1217, 1247, 1252, 1264]"
240,84429385,"[76, 86, 88, 147, 148, 149, 155, 161, 182, 213, 227, 247, 320, 354, 374, 376, 409, 414, 416, 421, 490, 513, 568, 569, 572, 599, 600, 630, 631, 639, 644, 684, 691, 708, 732, 738, 743, 837, 901, 909, 912, 925, 933, 937, 944, 967, 993, 994, 996, 1009, 1014, 1015, 1017, 1024, 1036, 1043, 1044, 1052, 1073, 1093, 1127, 1158, 1162, 1212, 1217, 1247, 1248, 1264]"
360,131151715,"[18, 58, 71, 72, 76, 79, 86, 88, 147, 155, 161, 163, 182, 202, 211, 212, 217, 231, 247, 250, 259, 296, 320, 328, 333, 334, 342, 351, 360, 367, 369, 374, 376, 377, 409, 414, 416, 422, 430, 463, 465, 489, 513, 559, 568, 569, 599, 600, 615, 617, 630, 631, 632, 639, 656, 684, 691, 699, 708, 710, 734, 743, 821, 834, 837, 901, 912, 917, 918, 919, 925, 933, 937, 944, 953, 957, 967, 977, 995, 996, 997, 998, 1009, 1014, 1015, 1017, 1020, 1022, 1024, 1027, 1040, 1043, 1044, 1052, 1073, 1089, 1093, 1126, 1134, 1143, 1152, 1158, 1162, 1164, 1171, 1181, 1183, 1209, 1211, 1212, 1226, 1228, 1236, 1239, 1243, 1246, 1247, 1273, 1274, 1279, 1287]"
280,90745025,"[71, 74, 76, 86, 88, 147, 148, 161, 162, 182, 190, 191, 202, 212, 227, 260, 262, 320, 350, 354, 374, 376, 377, 409, 414, 416, 422, 430, 472, 478, 490, 509, 560, 568, 569, 598, 599, 600, 608, 619, 620, 625, 639, 644, 662, 708, 710, 726, 743, 820, 831, 835, 901, 912, 917, 925, 937, 942, 967, 995, 1018, 1024, 1027, 1043, 1044, 1070, 1073, 1091, 1103, 1158, 1162, 1171, 1217, 1228, 1242, 1243, 1247, 1264, 1273, 1274]"
320,131521460,"[58, 74, 76, 79, 86, 88, 147, 148, 155, 161, 182, 202, 211, 212, 227, 259, 296, 320, 328, 333, 334, 353, 374, 376, 377, 409, 414, 416, 422, 430, 437, 466, 489, 490, 509, 513, 568, 569, 599, 600, 608, 630, 632, 639, 644, 656, 684, 691, 699, 705, 708, 710, 717, 726, 743, 780, 834, 837, 901, 908, 912, 925, 933, 937, 967, 993, 994, 995, 996, 997, 1000, 1014, 1015, 1017, 1024, 1027, 1043, 1044, 1052, 1070, 1073, 1089, 1093, 1127, 1158, 1162, 1164, 1181, 1212, 1217, 1228, 1243, 1247, 1251, 1252, 1264]"
