budget,job_acc,projects
80,48562195,"[58, 76, 79, 118, 149, 154, 155, 161, 211, 212, 227, 334, 353, 377, 409, 416, 463, 465, 568, 569, 837, 901, 925, 979, 993, 994, 1014, 1052, 1091, 1178, 1217, 1228, 1243]"
120,54894490,"[58, 76, 79, 147, 149, 154, 156, 161, 193, 212, 227, 409, 416, 463, 465, 477, 516, 559, 568, 674, 695, 726, 735, 837, 894, 901, 925, 944, 996, 1009, 1014, 1033, 1034, 1043, 1044, 1052, 1070, 1093, 1146, 1152, 1214, 1217, 1228, 1242, 1243, 1251, 1279]"
200,68148290,"[4, 58, 71, 76, 79, 118, 147, 148, 161, 190, 191, 211, 212, 227, 259, 279, 333, 334, 350, 353, 354, 366, 374, 376, 377, 382, 416, 430, 436, 453, 463, 568, 569, 576, 598, 654, 662, 691, 709, 727, 735, 837, 870, 901, 917, 920, 925, 933, 944, 994, 995, 1009, 1014, 1015, 1033, 1036, 1040, 1043, 1056, 1103, 1158, 1172, 1181, 1196, 1217, 1220, 1228, 1243, 1251, 1263, 1279]"
400,115738405,"[18, 53, 58, 71, 76, 79, 86, 88, 147, 149, 155, 156, 161, 182, 190, 191, 205, 212, 223, 227, 250, 259, 261, 272, 279, 296, 309, 313, 318, 320, 327, 328, 342, 350, 353, 354, 355, 374, 376, 377, 378, 409, 416, 421, 438, 463, 465, 477, 478, 489, 510, 558, 559, 568, 569, 595, 596, 598, 600, 625, 631, 632, 639, 679, 694, 699, 708, 709, 733, 734, 747, 813, 834, 838, 839, 858, 873, 901, 912, 925, 937, 943, 944, 947, 977, 986, 993, 994, 996, 1009, 1014, 1015, 1017, 1033, 1035, 1043, 1044, 1056, 1072, 1090, 1093, 1103, 1141, 1158, 1204, 1215, 1217, 1228, 1242, 1243, 1247, 1252, 1279]"
40,26072545,"[79, 227, 409, 416, 505, 568, 686, 837, 901, 925, 1014, 1052, 1217, 1228, 1242, 1243, 1279]"
160,56134455,"[12, 13, 58, 71, 72, 76, 79, 149, 154, 155, 161, 211, 212, 217, 218, 227, 259, 318, 320, 327, 351, 374, 376, 416, 463, 477, 489, 504, 505, 568, 575, 576, 591, 647, 725, 813, 830, 839, 917, 920, 925, 944, 972, 993, 994, 996, 1010, 1014, 1043, 1056, 1146, 1162, 1191, 1210, 1217, 1228, 1242, 1243, 1251, 1274, 1279, 1287]"
240,101330910,"[58, 71, 76, 79, 86, 88, 147, 148, 149, 155, 161, 182, 190, 191, 211, 212, 227, 279, 320, 350, 353, 374, 376, 377, 409, 416, 422, 430, 463, 465, 477, 489, 513, 568, 569, 596, 598, 677, 679, 684, 691, 694, 708, 743, 821, 837, 901, 925, 926, 933, 942, 944, 947, 967, 993, 994, 995, 996, 997, 1014, 1015, 1017, 1024, 1043, 1044, 1093, 1158, 1181, 1212, 1217, 1228, 1239, 1243, 1251, 1252, 1264]"
360,103774875,"[18, 19, 21, 58, 71, 76, 79, 86, 88, 147, 148, 149, 154, 155, 161, 162, 163, 182, 190, 191, 212, 223, 227, 260, 262, 320, 327, 350, 356, 374, 376, 377, 409, 416, 417, 436, 463, 465, 469, 477, 478, 489, 490, 509, 513, 558, 560, 568, 569, 598, 624, 625, 639, 674, 677, 679, 684, 694, 710, 726, 738, 784, 835, 837, 901, 908, 919, 925, 926, 937, 944, 947, 977, 978, 993, 994, 995, 996, 1011, 1014, 1015, 1024, 1027, 1043, 1044, 1052, 1093, 1103, 1111, 1158, 1163, 1164, 1183, 1217, 1226, 1228, 1243, 1252, 1264, 1294]"
280,87837250,"[58, 74, 86, 88, 147, 149, 161, 182, 190, 191, 227, 231, 320, 333, 334, 350, 356, 374, 376, 377, 430, 463, 465, 477, 478, 509, 568, 569, 595, 598, 625, 630, 644, 662, 677, 679, 684, 691, 694, 699, 708, 717, 726, 738, 780, 834, 837, 873, 901, 917, 925, 926, 933, 944, 947, 994, 995, 996, 997, 1000, 1014, 1015, 1017, 1023, 1034, 1043, 1044, 1052, 1056, 1070, 1073, 1093, 1143, 1181, 1212, 1217, 1228, 1243, 1251, 1252, 1253, 1279]"
320,84025735,"[19, 53, 58, 76, 79, 113, 118, 147, 155, 161, 164, 190, 191, 203, 212, 227, 247, 250, 259, 262, 313, 318, 319, 320, 327, 350, 374, 416, 422, 430, 463, 465, 477, 489, 510, 568, 576, 597, 599, 600, 601, 662, 691, 709, 735, 743, 781, 830, 839, 879, 901, 902, 908, 912, 925, 933, 937, 944, 967, 986, 994, 995, 1014, 1015, 1019, 1020, 1024, 1036, 1039, 1043, 1044, 1070, 1072, 1084, 1093, 1141, 1158, 1164, 1181, 1182, 1217, 1228, 1243, 1251, 1264, 1279, 1287]"
