budget,job_acc,projects
120,81877470,"[12, 13, 71, 76, 79, 147, 149, 155, 161, 211, 212, 328, 353, 374, 376, 409, 414, 416, 436, 709, 785, 901, 908, 925, 937, 944, 979, 993, 994, 996, 997, 1014, 1033, 1035, 1043, 1044, 1073, 1091, 1093, 1103, 1162, 1178, 1217, 1228, 1239, 1242, 1243, 1247, 1279]"
200,71248930,"[12, 13, 18, 38, 71, 76, 79, 115, 118, 147, 155, 161, 211, 212, 262, 318, 327, 328, 374, 376, 409, 414, 416, 422, 430, 560, 569, 576, 598, 599, 600, 654, 655, 684, 694, 709, 750, 756, 785, 901, 918, 925, 937, 942, 993, 994, 995, 996, 1015, 1024, 1027, 1043, 1044, 1070, 1072, 1073, 1103, 1146, 1159, 1162, 1191, 1204, 1214, 1217, 1228, 1236, 1243, 1247, 1273, 1279]"
400,108745485,"[18, 58, 71, 76, 79, 112, 119, 147, 149, 155, 156, 161, 164, 182, 190, 191, 192, 203, 211, 212, 213, 223, 227, 269, 270, 278, 296, 313, 350, 353, 355, 374, 409, 413, 414, 416, 422, 465, 466, 478, 489, 490, 504, 513, 538, 568, 569, 587, 595, 598, 599, 600, 601, 620, 630, 644, 662, 685, 691, 694, 695, 697, 708, 726, 741, 754, 756, 769, 785, 821, 873, 879, 894, 901, 909, 912, 918, 925, 926, 933, 937, 943, 947, 976, 978, 993, 994, 996, 997, 1014, 1015, 1024, 1026, 1033, 1035, 1039, 1043, 1044, 1052, 1069, 1073, 1089, 1093, 1104, 1105, 1111, 1112, 1126, 1158, 1162, 1181, 1217, 1223, 1226, 1236, 1243, 1247, 1279]"
80,64195095,"[58, 71, 76, 79, 149, 155, 161, 211, 212, 328, 353, 414, 662, 709, 785, 901, 925, 937, 944, 979, 994, 996, 1014, 1015, 1033, 1035, 1073, 1091, 1162, 1178, 1217, 1228, 1239, 1242, 1243, 1247, 1251]"
40,27981320,"[58, 71, 414, 709, 785, 901, 925, 937, 1014, 1033, 1035, 1073, 1162, 1217, 1242, 1247, 1252]"
160,96283185,"[12, 13, 18, 58, 71, 76, 79, 147, 149, 155, 161, 211, 212, 328, 353, 374, 376, 409, 414, 416, 422, 599, 600, 695, 709, 785, 901, 908, 909, 925, 937, 942, 944, 979, 993, 994, 996, 997, 1014, 1015, 1024, 1033, 1035, 1043, 1044, 1052, 1073, 1091, 1093, 1103, 1162, 1178, 1217, 1228, 1239, 1242, 1243, 1247, 1252, 1279]"
240,94277615,"[12, 13, 18, 30, 71, 76, 77, 79, 147, 149, 155, 161, 164, 211, 212, 227, 259, 268, 269, 318, 320, 374, 409, 414, 416, 422, 463, 464, 478, 509, 560, 576, 598, 599, 684, 697, 709, 726, 743, 769, 785, 833, 873, 893, 908, 925, 937, 944, 965, 967, 993, 994, 995, 996, 1014, 1015, 1024, 1043, 1044, 1072, 1073, 1089, 1093, 1103, 1126, 1162, 1203, 1228, 1243, 1247, 1251, 1279]"
360,101524990,"[18, 40, 59, 70, 71, 76, 79, 112, 147, 149, 155, 156, 161, 190, 191, 211, 212, 227, 250, 270, 279, 313, 350, 353, 355, 374, 409, 414, 415, 422, 436, 437, 463, 465, 478, 559, 569, 597, 599, 600, 601, 619, 630, 684, 685, 696, 697, 698, 708, 709, 718, 732, 734, 746, 756, 767, 785, 798, 800, 801, 820, 835, 837, 838, 840, 873, 879, 901, 918, 925, 926, 937, 943, 944, 947, 986, 994, 995, 996, 1014, 1015, 1024, 1039, 1043, 1044, 1073, 1090, 1093, 1126, 1158, 1162, 1164, 1178, 1181, 1184, 1212, 1217, 1226, 1243, 1246, 1247, 1251, 1257, 1266]"
280,110340370,"[18, 58, 76, 77, 86, 88, 147, 148, 149, 155, 161, 182, 190, 191, 203, 205, 211, 212, 227, 271, 272, 279, 296, 328, 350, 351, 355, 359, 374, 414, 422, 427, 463, 465, 478, 489, 505, 559, 569, 597, 599, 620, 654, 662, 684, 685, 695, 697, 699, 709, 734, 746, 750, 769, 781, 785, 832, 834, 837, 840, 873, 901, 908, 909, 918, 919, 920, 925, 927, 929, 944, 953, 994, 995, 996, 1011, 1014, 1015, 1024, 1027, 1043, 1044, 1061, 1069, 1073, 1091, 1093, 1103, 1126, 1158, 1162, 1163, 1164, 1210, 1217, 1228, 1239, 1242, 1247, 1251]"
320,111870025,"[18, 38, 70, 76, 79, 147, 148, 149, 161, 162, 190, 191, 211, 212, 227, 259, 327, 328, 350, 353, 355, 374, 375, 376, 409, 414, 416, 421, 422, 463, 465, 488, 489, 490, 509, 513, 560, 569, 599, 620, 639, 640, 644, 699, 709, 718, 726, 734, 736, 780, 785, 834, 901, 908, 917, 925, 927, 937, 986, 993, 994, 995, 996, 998, 1014, 1015, 1026, 1034, 1036, 1043, 1044, 1061, 1072, 1073, 1078, 1089, 1090, 1127, 1141, 1156, 1158, 1162, 1164, 1202, 1215, 1217, 1218, 1228, 1242, 1243, 1247, 1252, 1264]"
