budget,job_acc,projects
120,92688720,"[12, 13, 58, 71, 76, 79, 86, 88, 147, 149, 155, 182, 211, 212, 227, 353, 355, 599, 630, 632, 901, 917, 918, 919, 925, 979, 993, 994, 996, 997, 1014, 1024, 1034, 1043, 1044, 1091, 1163, 1164, 1177, 1178, 1236, 1239, 1242, 1247, 1251, 1279]"
200,108447535,"[58, 71, 76, 79, 86, 88, 118, 147, 155, 156, 182, 190, 191, 202, 211, 212, 222, 227, 313, 327, 328, 350, 353, 354, 356, 374, 409, 416, 430, 453, 463, 559, 599, 694, 708, 710, 734, 837, 901, 908, 919, 925, 937, 942, 993, 994, 995, 996, 1010, 1014, 1024, 1034, 1043, 1044, 1073, 1093, 1103, 1162, 1164, 1183, 1217, 1221, 1239, 1246, 1247, 1251, 1256, 1273, 1274, 1279]"
400,128740005,"[12, 13, 18, 58, 71, 76, 115, 116, 147, 148, 149, 155, 156, 161, 163, 202, 211, 212, 222, 227, 279, 297, 313, 320, 328, 331, 360, 374, 376, 413, 436, 437, 463, 464, 576, 598, 599, 600, 620, 624, 625, 631, 656, 679, 694, 695, 699, 708, 710, 726, 735, 743, 768, 780, 834, 837, 838, 873, 901, 908, 909, 918, 919, 925, 937, 944, 953, 957, 967, 974, 978, 979, 993, 994, 995, 996, 1011, 1014, 1024, 1043, 1044, 1073, 1091, 1093, 1097, 1103, 1105, 1158, 1162, 1163, 1164, 1172, 1178, 1183, 1186, 1217, 1223, 1226, 1228, 1239, 1242, 1243, 1247, 1251, 1264, 1266]"
80,73484890,"[58, 76, 79, 118, 147, 149, 155, 211, 212, 227, 353, 356, 599, 837, 901, 925, 979, 993, 994, 996, 1014, 1024, 1034, 1043, 1044, 1091, 1164, 1177, 1178, 1236, 1239, 1247, 1251]"
40,38822745,"[58, 149, 227, 409, 599, 746, 901, 925, 1014, 1034, 1044, 1073, 1158, 1162, 1164, 1242, 1247, 1251]"
160,69462525,"[71, 76, 79, 147, 155, 190, 191, 212, 222, 227, 350, 374, 409, 416, 430, 559, 599, 686, 691, 695, 746, 837, 901, 908, 909, 925, 933, 937, 942, 944, 979, 993, 994, 995, 996, 1014, 1024, 1043, 1044, 1090, 1091, 1093, 1103, 1158, 1164, 1177, 1178, 1181, 1212, 1217, 1228, 1236, 1243, 1247, 1251, 1279]"
240,99394910,"[12, 13, 58, 71, 76, 79, 114, 115, 147, 149, 155, 156, 161, 192, 203, 211, 212, 222, 227, 261, 268, 271, 272, 279, 283, 313, 328, 353, 355, 360, 374, 376, 413, 436, 465, 478, 587, 598, 599, 601, 662, 694, 695, 726, 769, 878, 894, 895, 901, 908, 909, 912, 917, 918, 919, 925, 937, 942, 953, 979, 993, 994, 996, 997, 1014, 1015, 1017, 1024, 1027, 1033, 1035, 1043, 1044, 1052, 1057, 1061, 1072, 1073, 1103, 1143, 1146, 1158, 1163, 1164, 1171, 1178, 1191, 1202, 1209, 1228, 1239, 1242, 1243, 1248, 1251, 1264, 1279, 1287]"
360,97513090,"[21, 38, 40, 58, 71, 74, 75, 76, 79, 86, 88, 147, 155, 156, 162, 182, 190, 191, 202, 205, 212, 222, 223, 227, 235, 309, 313, 350, 356, 374, 409, 416, 430, 463, 464, 510, 513, 559, 560, 598, 599, 620, 623, 630, 656, 667, 691, 710, 718, 734, 751, 769, 780, 800, 801, 814, 830, 873, 901, 908, 912, 918, 925, 933, 937, 943, 944, 979, 993, 994, 995, 996, 1013, 1014, 1017, 1024, 1033, 1034, 1043, 1044, 1052, 1056, 1057, 1070, 1073, 1091, 1127, 1158, 1162, 1164, 1177, 1178, 1195, 1217, 1226, 1228, 1242, 1244, 1247, 1264, 1279, 1294]"
280,88167000,"[18, 58, 71, 76, 79, 86, 88, 147, 148, 156, 182, 190, 191, 202, 211, 212, 222, 227, 231, 253, 279, 350, 353, 355, 356, 366, 374, 409, 416, 430, 436, 437, 463, 464, 597, 599, 632, 679, 691, 694, 708, 710, 735, 834, 878, 901, 925, 933, 937, 944, 986, 993, 994, 995, 996, 1011, 1014, 1017, 1024, 1033, 1035, 1043, 1044, 1052, 1073, 1126, 1141, 1158, 1162, 1164, 1181, 1212, 1220, 1221, 1228, 1243, 1247, 1251, 1252, 1256, 1264, 1266]"
320,101587945,"[18, 58, 71, 76, 79, 86, 88, 147, 148, 155, 182, 190, 191, 202, 212, 222, 227, 262, 313, 350, 366, 374, 413, 421, 430, 436, 437, 463, 465, 509, 569, 576, 595, 598, 599, 630, 631, 632, 656, 662, 691, 694, 708, 710, 726, 735, 738, 743, 746, 832, 901, 908, 912, 920, 925, 927, 933, 937, 944, 967, 994, 995, 996, 997, 1000, 1011, 1014, 1024, 1033, 1035, 1039, 1043, 1044, 1072, 1073, 1093, 1158, 1162, 1164, 1181, 1202, 1212, 1217, 1220, 1221, 1228, 1246, 1251, 1256, 1264, 1266, 1273, 1274, 1283]"
