budget,job_acc,projects
80,52759560,"[59, 74, 79, 147, 149, 211, 212, 227, 328, 333, 334, 353, 374, 377, 422, 734, 837, 901, 925, 944, 993, 994, 1033, 1034, 1073, 1093, 1158, 1162, 1164, 1217, 1239, 1247, 1251, 1264, 1279]"
120,57097180,"[76, 79, 117, 121, 122, 147, 212, 227, 328, 333, 334, 374, 377, 478, 505, 568, 691, 709, 710, 725, 734, 837, 901, 925, 993, 994, 998, 1015, 1024, 1026, 1033, 1035, 1044, 1072, 1163, 1164, 1217, 1228, 1243, 1251, 1279]"
200,94014970,"[38, 58, 71, 74, 76, 79, 147, 148, 161, 190, 191, 211, 212, 227, 328, 335, 350, 356, 374, 409, 416, 422, 430, 463, 465, 485, 538, 568, 569, 576, 599, 600, 630, 632, 677, 708, 718, 837, 901, 925, 937, 944, 993, 994, 995, 996, 1014, 1015, 1024, 1033, 1035, 1043, 1044, 1072, 1133, 1158, 1164, 1217, 1228, 1243, 1247, 1251, 1252, 1264, 1266, 1287]"
400,115754315,"[38, 40, 52, 71, 74, 76, 79, 112, 147, 148, 149, 161, 163, 192, 193, 211, 212, 227, 229, 232, 269, 309, 318, 320, 328, 350, 351, 355, 369, 374, 409, 413, 416, 422, 436, 437, 463, 465, 466, 485, 490, 559, 568, 576, 586, 587, 595, 599, 600, 617, 618, 620, 632, 662, 674, 677, 691, 695, 709, 718, 726, 735, 743, 751, 780, 783, 834, 838, 839, 846, 873, 901, 908, 909, 912, 919, 925, 933, 937, 944, 977, 995, 996, 1000, 1009, 1014, 1015, 1017, 1024, 1034, 1035, 1043, 1044, 1056, 1072, 1078, 1090, 1093, 1127, 1131, 1134, 1164, 1183, 1212, 1217, 1228, 1243, 1244, 1247, 1251, 1253, 1264, 1266, 1274]"
40,37182960,"[58, 79, 149, 227, 328, 333, 334, 377, 677, 837, 901, 918, 925, 1033, 1035, 1073, 1093, 1158, 1162, 1164, 1217, 1247, 1251, 1264]"
160,92780720,"[58, 71, 76, 77, 121, 122, 147, 149, 161, 213, 227, 328, 333, 356, 374, 409, 416, 463, 465, 568, 576, 599, 632, 677, 686, 709, 717, 837, 895, 901, 925, 942, 967, 993, 994, 996, 1014, 1015, 1024, 1034, 1043, 1044, 1093, 1164, 1217, 1228, 1243, 1251, 1252, 1279]"
240,80740855,"[6, 12, 13, 40, 58, 69, 71, 76, 79, 116, 147, 148, 149, 162, 192, 227, 231, 269, 270, 328, 332, 333, 355, 360, 367, 374, 409, 415, 464, 485, 538, 559, 560, 568, 576, 599, 600, 620, 630, 658, 662, 684, 708, 725, 735, 743, 756, 780, 787, 814, 837, 838, 901, 908, 909, 917, 918, 919, 925, 937, 996, 1015, 1017, 1024, 1033, 1034, 1043, 1044, 1070, 1073, 1093, 1131, 1158, 1162, 1164, 1180, 1209, 1210, 1217, 1228, 1243, 1245, 1247, 1252, 1264]"
360,104397330,"[58, 71, 76, 79, 112, 147, 148, 155, 162, 164, 190, 191, 211, 212, 227, 247, 270, 320, 328, 350, 353, 356, 367, 374, 375, 377, 409, 416, 422, 430, 436, 437, 463, 465, 485, 513, 529, 559, 568, 569, 576, 599, 600, 608, 630, 631, 674, 695, 709, 717, 735, 767, 785, 799, 805, 820, 837, 840, 901, 908, 909, 925, 967, 993, 994, 995, 996, 1014, 1024, 1033, 1035, 1039, 1043, 1044, 1072, 1093, 1158, 1164, 1173, 1211, 1217, 1221, 1228, 1236, 1243, 1251, 1252, 1264, 1266, 1287]"
280,74161775,"[58, 76, 79, 112, 147, 148, 202, 211, 212, 218, 227, 259, 267, 268, 269, 320, 328, 333, 342, 350, 353, 365, 374, 377, 421, 422, 430, 436, 437, 465, 466, 504, 521, 538, 568, 569, 572, 576, 595, 599, 600, 618, 620, 631, 644, 662, 677, 679, 691, 709, 718, 726, 747, 780, 787, 804, 805, 834, 873, 901, 925, 927, 933, 942, 944, 995, 996, 1003, 1014, 1033, 1035, 1039, 1043, 1044, 1069, 1070, 1073, 1084, 1093, 1112, 1127, 1146, 1163, 1164, 1196, 1211, 1221, 1228, 1243, 1247, 1252, 1264, 1266, 1273, 1287]"
320,91946410,"[38, 58, 71, 76, 79, 112, 147, 148, 155, 180, 190, 191, 211, 212, 227, 233, 234, 262, 269, 320, 344, 345, 350, 353, 356, 367, 374, 409, 413, 414, 416, 422, 430, 436, 437, 463, 465, 485, 510, 560, 568, 569, 576, 599, 600, 629, 630, 631, 674, 678, 695, 709, 735, 767, 830, 837, 873, 901, 909, 925, 958, 962, 967, 993, 994, 995, 996, 1007, 1014, 1024, 1033, 1035, 1043, 1044, 1072, 1078, 1093, 1129, 1158, 1164, 1217, 1226, 1227, 1228, 1236, 1243, 1247, 1251, 1252, 1266]"
