budget,job_acc,projects
120,56954760,"[12, 13, 71, 76, 79, 86, 88, 118, 147, 148, 149, 155, 182, 227, 250, 356, 374, 409, 416, 465, 576, 600, 709, 735, 837, 901, 920, 925, 937, 944, 996, 997, 1014, 1024, 1043, 1044, 1093, 1162, 1217, 1228, 1243, 1248, 1251, 1252, 1264]"
200,87349860,"[12, 13, 18, 71, 76, 79, 86, 88, 118, 147, 149, 155, 161, 182, 211, 212, 222, 227, 279, 351, 353, 356, 374, 409, 413, 416, 478, 569, 576, 598, 600, 644, 709, 726, 735, 837, 901, 920, 925, 937, 944, 979, 993, 994, 995, 996, 1014, 1015, 1024, 1033, 1034, 1039, 1043, 1044, 1070, 1078, 1091, 1093, 1103, 1178, 1217, 1228, 1243, 1251, 1252, 1279]"
400,95794715,"[12, 13, 18, 71, 76, 79, 86, 88, 118, 147, 148, 155, 161, 163, 182, 222, 227, 229, 232, 233, 269, 278, 320, 328, 356, 366, 368, 374, 409, 414, 416, 421, 422, 430, 463, 465, 499, 500, 513, 568, 569, 574, 580, 598, 600, 614, 644, 656, 694, 699, 708, 709, 734, 834, 838, 840, 900, 901, 908, 912, 918, 925, 927, 937, 944, 978, 986, 993, 994, 995, 996, 997, 1011, 1014, 1015, 1017, 1019, 1024, 1034, 1043, 1044, 1070, 1084, 1093, 1141, 1158, 1195, 1196, 1215, 1228, 1243, 1251, 1252]"
80,52380285,"[120, 147, 149, 161, 211, 212, 227, 353, 374, 409, 416, 478, 630, 662, 709, 726, 837, 901, 925, 942, 994, 996, 1014, 1015, 1043, 1044, 1093, 1182, 1217, 1239, 1251, 1252, 1279]"
40,37384995,"[77, 79, 147, 155, 227, 351, 709, 901, 925, 942, 979, 1033, 1035, 1043, 1044, 1091, 1093, 1178, 1252, 1279]"
160,68747850,"[12, 13, 31, 71, 76, 79, 86, 88, 118, 147, 149, 155, 156, 161, 171, 182, 211, 212, 227, 259, 262, 353, 374, 409, 416, 568, 569, 598, 600, 709, 901, 914, 925, 937, 943, 944, 979, 993, 994, 996, 1014, 1015, 1024, 1033, 1035, 1043, 1044, 1091, 1093, 1178, 1228, 1243, 1251, 1252, 1279]"
240,80899695,"[12, 13, 18, 34, 76, 79, 118, 147, 161, 202, 211, 222, 223, 227, 249, 319, 353, 356, 366, 374, 409, 413, 416, 422, 463, 464, 489, 513, 568, 576, 587, 598, 600, 620, 644, 674, 708, 709, 725, 735, 767, 837, 901, 925, 937, 944, 993, 994, 996, 997, 1014, 1024, 1033, 1035, 1043, 1044, 1093, 1217, 1228, 1243, 1251, 1252, 1279]"
360,74682245,"[12, 13, 18, 31, 59, 76, 79, 147, 149, 155, 161, 171, 227, 250, 313, 320, 329, 351, 353, 356, 366, 367, 369, 374, 413, 422, 437, 465, 513, 568, 569, 574, 576, 586, 587, 598, 600, 630, 656, 691, 694, 695, 699, 708, 709, 735, 834, 837, 901, 908, 909, 912, 914, 918, 925, 933, 937, 944, 993, 994, 996, 1014, 1015, 1018, 1019, 1020, 1024, 1033, 1039, 1043, 1044, 1093, 1126, 1181, 1212, 1220, 1228, 1243, 1251, 1252, 1279]"
280,80195320,"[12, 13, 18, 71, 76, 79, 118, 120, 147, 155, 156, 161, 206, 211, 212, 227, 259, 313, 353, 356, 366, 374, 409, 416, 422, 430, 465, 478, 490, 560, 568, 569, 598, 600, 630, 708, 709, 726, 735, 746, 837, 838, 840, 901, 902, 909, 920, 925, 937, 944, 993, 994, 995, 996, 997, 1014, 1015, 1019, 1024, 1033, 1043, 1044, 1093, 1182, 1183, 1196, 1228, 1243, 1251, 1252, 1279]"
320,77970315,"[12, 13, 18, 76, 118, 147, 148, 149, 155, 161, 211, 212, 222, 227, 279, 333, 334, 353, 356, 369, 374, 409, 416, 422, 465, 510, 568, 569, 574, 587, 597, 600, 601, 618, 620, 630, 632, 694, 699, 708, 709, 726, 746, 780, 834, 837, 840, 901, 925, 933, 937, 944, 993, 994, 996, 997, 1000, 1014, 1015, 1024, 1027, 1034, 1043, 1044, 1093, 1164, 1217, 1228, 1243, 1251, 1252, 1264]"
