budget,job_acc,projects
80,51459440,"[58, 76, 79, 161, 227, 333, 334, 377, 409, 414, 416, 463, 609, 699, 724, 785, 834, 837, 901, 925, 993, 994, 996, 1019, 1043, 1073, 1093, 1158, 1162, 1242, 1247, 1264]"
120,86678835,"[58, 76, 79, 122, 155, 161, 211, 212, 227, 351, 374, 414, 463, 465, 609, 699, 709, 724, 785, 834, 901, 925, 927, 993, 994, 996, 997, 1014, 1019, 1033, 1034, 1043, 1044, 1052, 1073, 1093, 1158, 1162, 1228, 1242, 1243, 1246, 1251, 1256, 1264, 1273, 1274, 1283]"
200,98199130,"[18, 58, 71, 76, 79, 155, 161, 190, 191, 202, 211, 212, 227, 333, 334, 350, 351, 355, 356, 374, 377, 409, 414, 416, 430, 463, 464, 465, 489, 513, 569, 576, 609, 630, 699, 708, 709, 710, 724, 734, 834, 837, 901, 917, 918, 919, 925, 942, 944, 993, 994, 995, 996, 997, 1014, 1015, 1019, 1024, 1033, 1034, 1043, 1044, 1073, 1093, 1126, 1158, 1162, 1217, 1228, 1243, 1247, 1251, 1264]"
400,98840700,"[18, 51, 58, 71, 72, 77, 79, 118, 119, 147, 148, 161, 163, 190, 191, 212, 213, 218, 227, 259, 262, 268, 279, 310, 327, 350, 351, 368, 374, 409, 414, 416, 422, 430, 432, 435, 453, 463, 477, 485, 489, 505, 509, 513, 520, 537, 560, 569, 580, 597, 599, 600, 601, 618, 620, 631, 654, 685, 699, 709, 724, 726, 727, 732, 780, 785, 814, 820, 821, 830, 834, 838, 878, 894, 901, 912, 913, 917, 919, 927, 944, 978, 986, 993, 994, 995, 996, 998, 1011, 1014, 1017, 1019, 1020, 1023, 1024, 1027, 1033, 1035, 1043, 1044, 1052, 1061, 1070, 1084, 1131, 1141, 1162, 1163, 1177, 1183, 1204, 1228, 1242, 1243, 1244, 1246, 1247, 1248, 1249, 1253, 1264]"
40,44694200,"[76, 79, 147, 161, 227, 333, 334, 377, 414, 724, 785, 837, 901, 1073, 1162, 1242, 1247, 1279]"
160,67784780,"[18, 58, 76, 79, 118, 119, 122, 161, 193, 227, 318, 320, 328, 334, 351, 374, 377, 414, 416, 463, 465, 510, 559, 575, 597, 630, 699, 709, 724, 746, 785, 813, 834, 901, 917, 918, 919, 927, 993, 994, 996, 1019, 1034, 1043, 1044, 1052, 1070, 1073, 1093, 1134, 1158, 1162, 1228, 1246, 1264, 1273, 1274, 1283]"
240,94402460,"[18, 53, 58, 70, 76, 79, 147, 148, 154, 155, 161, 163, 212, 227, 231, 261, 267, 279, 333, 334, 374, 377, 409, 414, 416, 430, 463, 488, 489, 504, 510, 513, 576, 598, 599, 630, 631, 691, 699, 708, 709, 724, 735, 756, 781, 785, 834, 838, 901, 925, 927, 933, 942, 944, 993, 994, 995, 996, 1011, 1019, 1024, 1037, 1044, 1070, 1072, 1073, 1126, 1127, 1158, 1162, 1182, 1217, 1221, 1226, 1243, 1247, 1264]"
360,133492560,"[18, 58, 69, 76, 79, 86, 88, 118, 119, 122, 148, 155, 156, 161, 182, 190, 191, 202, 211, 212, 222, 227, 247, 268, 271, 296, 310, 318, 320, 327, 350, 351, 354, 355, 356, 374, 377, 409, 413, 414, 416, 430, 463, 471, 478, 489, 505, 509, 513, 558, 559, 569, 576, 587, 598, 599, 600, 631, 695, 699, 708, 709, 710, 724, 726, 735, 756, 767, 814, 821, 830, 834, 838, 840, 901, 909, 912, 917, 919, 925, 927, 937, 942, 978, 994, 995, 996, 997, 998, 1010, 1011, 1014, 1015, 1019, 1024, 1026, 1027, 1043, 1044, 1068, 1072, 1093, 1127, 1131, 1158, 1163, 1164, 1182, 1217, 1220, 1228, 1239, 1243, 1244, 1246, 1274, 1279, 1284]"
280,103074600,"[12, 13, 18, 58, 71, 76, 79, 86, 155, 156, 161, 164, 193, 211, 212, 222, 227, 231, 232, 259, 296, 313, 319, 327, 328, 333, 360, 368, 369, 374, 409, 414, 415, 416, 427, 430, 463, 466, 471, 478, 489, 509, 513, 559, 560, 576, 598, 631, 632, 684, 699, 708, 709, 718, 724, 735, 746, 785, 830, 831, 834, 840, 901, 920, 925, 927, 942, 944, 993, 994, 995, 996, 997, 1014, 1015, 1018, 1019, 1020, 1024, 1027, 1033, 1034, 1043, 1044, 1056, 1070, 1072, 1073, 1090, 1091, 1093, 1126, 1133, 1143, 1146, 1158, 1162, 1163, 1191, 1211, 1217, 1221, 1228, 1243, 1247, 1249, 1251, 1252, 1264, 1284]"
320,94425165,"[18, 74, 76, 79, 120, 147, 149, 155, 161, 190, 191, 211, 212, 222, 227, 229, 247, 279, 319, 350, 366, 367, 369, 374, 376, 377, 413, 414, 415, 422, 463, 464, 472, 490, 513, 558, 559, 586, 587, 595, 620, 632, 644, 684, 694, 699, 709, 724, 767, 781, 785, 834, 835, 901, 912, 918, 920, 927, 943, 968, 993, 994, 995, 996, 997, 1010, 1014, 1019, 1023, 1024, 1039, 1043, 1044, 1052, 1061, 1073, 1084, 1093, 1145, 1162, 1182, 1211, 1226, 1247, 1279]"
