budget,job_acc,projects
120,84583620,"[58, 76, 79, 147, 155, 211, 212, 227, 269, 353, 374, 409, 413, 463, 478, 485, 569, 609, 632, 644, 662, 717, 726, 837, 901, 925, 944, 979, 994, 1014, 1015, 1039, 1043, 1044, 1070, 1091, 1093, 1177, 1178, 1217, 1228, 1236, 1243, 1247, 1251]"
200,84009070,"[12, 13, 18, 71, 74, 76, 77, 147, 148, 155, 156, 227, 259, 268, 269, 272, 313, 328, 353, 374, 409, 414, 416, 421, 422, 463, 465, 478, 485, 489, 509, 559, 560, 569, 632, 643, 662, 696, 726, 734, 736, 785, 837, 901, 919, 925, 937, 942, 944, 979, 994, 997, 1015, 1018, 1024, 1026, 1027, 1044, 1052, 1072, 1073, 1091, 1093, 1134, 1158, 1162, 1164, 1178, 1228, 1247, 1279]"
400,127874005,"[12, 13, 18, 71, 76, 147, 155, 156, 161, 163, 202, 211, 212, 222, 227, 269, 313, 318, 327, 334, 356, 367, 374, 376, 377, 413, 414, 416, 422, 437, 463, 465, 485, 489, 498, 513, 524, 559, 564, 565, 568, 569, 619, 620, 644, 684, 685, 694, 695, 699, 710, 718, 726, 731, 732, 734, 768, 780, 781, 834, 878, 893, 901, 925, 937, 942, 967, 977, 978, 996, 1000, 1014, 1024, 1026, 1035, 1039, 1043, 1044, 1052, 1053, 1072, 1073, 1078, 1090, 1093, 1111, 1112, 1126, 1152, 1158, 1162, 1163, 1195, 1196, 1217, 1226, 1228, 1239, 1243, 1246, 1247, 1251, 1252, 1256, 1273, 1274, 1279]"
80,57252805,"[79, 147, 148, 227, 259, 262, 374, 463, 509, 560, 569, 609, 662, 726, 837, 901, 925, 942, 994, 1014, 1015, 1026, 1043, 1044, 1072, 1073, 1093, 1158, 1162, 1217, 1247, 1279]"
40,39862340,"[79, 227, 374, 409, 416, 569, 901, 925, 944, 1014, 1015, 1043, 1044, 1073, 1093, 1162, 1217, 1247, 1279]"
160,84866365,"[76, 79, 147, 155, 161, 163, 211, 212, 227, 260, 262, 268, 269, 328, 342, 374, 409, 414, 416, 421, 463, 485, 505, 509, 559, 569, 598, 609, 662, 726, 734, 785, 837, 901, 908, 925, 942, 944, 994, 996, 997, 998, 1014, 1024, 1043, 1044, 1052, 1070, 1073, 1093, 1162, 1203, 1217, 1228, 1243, 1246, 1247, 1251, 1252, 1256, 1273, 1274, 1279]"
240,90075255,"[12, 13, 18, 52, 58, 71, 76, 115, 147, 155, 156, 161, 222, 227, 229, 259, 262, 278, 313, 356, 374, 376, 414, 422, 438, 463, 485, 510, 560, 569, 597, 631, 643, 647, 654, 718, 727, 780, 785, 834, 901, 909, 925, 967, 977, 979, 993, 994, 996, 1014, 1024, 1043, 1044, 1052, 1073, 1084, 1091, 1093, 1103, 1127, 1162, 1178, 1239, 1247, 1279]"
360,132526760,"[18, 58, 76, 79, 112, 117, 147, 148, 155, 156, 162, 182, 190, 191, 202, 212, 222, 227, 228, 250, 313, 327, 328, 333, 334, 350, 353, 354, 355, 374, 376, 377, 409, 413, 414, 415, 416, 422, 430, 463, 478, 485, 487, 489, 509, 513, 569, 618, 620, 623, 625, 632, 644, 694, 696, 697, 708, 710, 717, 726, 734, 736, 768, 780, 830, 878, 880, 901, 925, 937, 942, 944, 977, 995, 1014, 1024, 1026, 1035, 1036, 1052, 1070, 1072, 1073, 1078, 1084, 1090, 1094, 1103, 1158, 1162, 1171, 1202, 1211, 1228, 1243, 1246, 1247, 1256, 1264, 1273, 1274]"
280,113058630,"[12, 13, 18, 71, 74, 76, 79, 147, 155, 156, 161, 212, 217, 227, 260, 262, 269, 313, 333, 334, 356, 367, 374, 376, 377, 409, 414, 416, 430, 463, 465, 478, 485, 489, 513, 538, 559, 560, 569, 572, 595, 598, 599, 600, 647, 662, 694, 709, 718, 734, 736, 746, 751, 756, 768, 769, 785, 837, 840, 895, 901, 908, 919, 925, 933, 937, 942, 944, 967, 994, 996, 1014, 1015, 1018, 1023, 1024, 1027, 1043, 1044, 1052, 1073, 1133, 1158, 1162, 1163, 1171, 1202, 1211, 1217, 1228, 1242, 1243, 1246, 1247, 1252, 1256, 1264, 1273, 1274, 1279]"
320,110997820,"[58, 76, 79, 115, 116, 120, 147, 148, 155, 156, 161, 162, 163, 182, 183, 190, 191, 202, 205, 212, 222, 227, 269, 279, 313, 318, 320, 328, 350, 356, 367, 368, 374, 376, 413, 414, 422, 430, 438, 463, 485, 513, 559, 560, 568, 569, 595, 598, 630, 644, 655, 662, 694, 708, 710, 718, 726, 734, 735, 821, 837, 873, 878, 893, 901, 917, 918, 919, 925, 937, 944, 994, 995, 996, 1014, 1024, 1026, 1033, 1035, 1039, 1043, 1044, 1052, 1070, 1072, 1073, 1090, 1093, 1162, 1182, 1183, 1228, 1243, 1246, 1247, 1256, 1273, 1274]"
