budget,job_acc,projects
120,60750385,"[71, 76, 77, 79, 147, 149, 161, 163, 227, 409, 413, 416, 509, 644, 708, 724, 751, 785, 837, 901, 925, 937, 967, 993, 994, 1014, 1015, 1017, 1034, 1039, 1043, 1093, 1158, 1164, 1221, 1242, 1251, 1279]"
200,55212135,"[12, 13, 70, 76, 86, 88, 112, 147, 161, 182, 192, 193, 212, 222, 227, 262, 374, 376, 409, 416, 430, 437, 473, 568, 569, 630, 694, 708, 724, 735, 901, 908, 909, 925, 927, 937, 944, 993, 994, 1014, 1015, 1017, 1024, 1043, 1072, 1093, 1164, 1243, 1251, 1252, 1279]"
400,113220235,"[18, 58, 71, 76, 77, 79, 86, 88, 112, 147, 149, 161, 163, 182, 190, 191, 193, 206, 211, 222, 227, 232, 269, 283, 309, 327, 350, 356, 360, 374, 375, 409, 413, 416, 436, 437, 463, 489, 490, 509, 510, 513, 560, 568, 569, 572, 598, 600, 618, 620, 630, 631, 640, 644, 662, 708, 709, 718, 724, 726, 768, 769, 780, 830, 835, 837, 873, 901, 908, 909, 912, 920, 925, 927, 937, 943, 944, 974, 976, 986, 994, 995, 996, 1000, 1004, 1014, 1015, 1024, 1027, 1039, 1043, 1044, 1052, 1068, 1078, 1093, 1122, 1126, 1127, 1141, 1156, 1164, 1181, 1203, 1212, 1217, 1251, 1252, 1264, 1266]"
80,72471425,"[76, 79, 118, 147, 148, 149, 161, 211, 212, 227, 333, 334, 374, 377, 409, 416, 422, 569, 708, 724, 901, 925, 937, 993, 994, 1014, 1015, 1017, 1158, 1239, 1251, 1264]"
40,32414890,"[58, 79, 154, 155, 227, 334, 377, 409, 416, 724, 837, 901, 925, 937, 979, 993, 994, 1014, 1091, 1178, 1242, 1251]"
160,94566020,"[18, 58, 71, 76, 79, 118, 147, 161, 183, 211, 212, 227, 333, 334, 374, 376, 377, 409, 416, 422, 430, 569, 598, 708, 709, 724, 735, 768, 901, 908, 909, 925, 937, 944, 993, 994, 996, 1014, 1015, 1024, 1033, 1035, 1043, 1093, 1103, 1158, 1164, 1182, 1183, 1217, 1228, 1239, 1243, 1251, 1252, 1279]"
240,90497445,"[12, 13, 18, 71, 76, 77, 79, 88, 118, 147, 148, 161, 183, 212, 222, 227, 327, 356, 374, 376, 377, 409, 413, 416, 430, 436, 437, 463, 489, 513, 560, 568, 630, 631, 632, 662, 708, 709, 724, 735, 768, 901, 908, 909, 925, 937, 944, 967, 993, 994, 996, 1000, 1014, 1015, 1017, 1024, 1033, 1034, 1043, 1044, 1052, 1072, 1093, 1158, 1164, 1183, 1251, 1252, 1266, 1279]"
360,85141150,"[18, 26, 53, 58, 76, 112, 147, 148, 149, 155, 161, 183, 190, 191, 192, 193, 212, 222, 227, 231, 259, 262, 269, 270, 296, 320, 327, 333, 350, 360, 374, 376, 377, 409, 413, 416, 436, 437, 489, 490, 513, 568, 569, 596, 598, 600, 630, 631, 691, 695, 708, 717, 724, 735, 736, 901, 908, 909, 917, 918, 919, 925, 933, 937, 942, 944, 953, 978, 993, 994, 995, 996, 1009, 1014, 1015, 1017, 1023, 1024, 1033, 1034, 1043, 1044, 1093, 1126, 1158, 1164, 1183, 1195, 1203, 1215, 1228, 1243, 1251, 1252, 1264, 1266]"
280,96770165,"[12, 13, 18, 71, 76, 79, 112, 147, 161, 183, 192, 193, 211, 212, 222, 223, 227, 271, 296, 327, 328, 351, 353, 356, 374, 376, 377, 409, 413, 414, 416, 422, 465, 489, 490, 509, 513, 568, 569, 598, 630, 631, 632, 644, 708, 709, 724, 735, 736, 738, 747, 750, 751, 755, 895, 901, 908, 912, 917, 918, 919, 925, 937, 942, 944, 993, 994, 996, 997, 1014, 1015, 1023, 1024, 1034, 1039, 1043, 1044, 1061, 1093, 1158, 1164, 1178, 1180, 1181, 1183, 1203, 1211, 1212, 1213, 1242, 1251, 1263, 1273, 1279, 1287]"
320,59408510,"[18, 58, 76, 112, 147, 149, 155, 161, 211, 222, 227, 374, 377, 413, 422, 436, 437, 465, 489, 490, 513, 514, 568, 569, 598, 599, 630, 631, 691, 695, 708, 709, 724, 735, 901, 908, 909, 925, 933, 937, 944, 996, 1014, 1015, 1017, 1024, 1044, 1093, 1158, 1164, 1203, 1228, 1243, 1251, 1252, 1266]"
