budget,job_acc,projects
120,68539680,"[12, 13, 58, 71, 76, 79, 149, 155, 211, 212, 227, 328, 351, 374, 422, 559, 630, 631, 662, 709, 724, 734, 837, 901, 925, 927, 937, 942, 944, 979, 994, 996, 1014, 1015, 1033, 1035, 1043, 1044, 1091, 1093, 1131, 1158, 1178, 1217, 1221, 1244, 1251, 1252, 1264, 1279]"
200,102563900,"[12, 13, 58, 76, 79, 86, 147, 148, 155, 156, 161, 211, 212, 222, 227, 328, 351, 374, 409, 413, 416, 422, 465, 560, 569, 587, 598, 644, 654, 662, 699, 709, 724, 726, 734, 736, 820, 830, 834, 901, 909, 925, 927, 937, 979, 993, 994, 996, 1010, 1014, 1015, 1019, 1026, 1033, 1035, 1039, 1043, 1044, 1056, 1072, 1090, 1091, 1093, 1131, 1158, 1178, 1217, 1239, 1244, 1251, 1264]"
400,127052210,"[12, 13, 18, 58, 69, 74, 76, 79, 86, 88, 112, 113, 147, 149, 155, 156, 161, 162, 190, 191, 192, 193, 211, 212, 222, 227, 230, 269, 313, 330, 331, 347, 348, 350, 351, 356, 374, 376, 409, 413, 414, 416, 422, 465, 478, 485, 489, 513, 568, 569, 587, 598, 599, 600, 607, 608, 631, 644, 647, 656, 662, 679, 699, 708, 709, 724, 726, 734, 736, 751, 774, 822, 834, 837, 873, 878, 901, 925, 926, 937, 947, 978, 979, 986, 987, 993, 994, 996, 1014, 1015, 1019, 1026, 1033, 1035, 1039, 1043, 1044, 1056, 1072, 1078, 1091, 1093, 1103, 1158, 1164, 1178, 1228, 1239, 1251, 1252, 1264]"
80,50090485,"[12, 13, 58, 76, 79, 149, 154, 155, 161, 227, 269, 271, 334, 377, 724, 901, 925, 927, 937, 979, 996, 1014, 1015, 1017, 1033, 1035, 1043, 1091, 1093, 1152, 1158, 1178, 1217, 1251, 1264]"
40,35685750,"[58, 79, 149, 154, 155, 161, 227, 334, 377, 724, 837, 901, 925, 937, 979, 1033, 1035, 1091, 1158, 1178, 1217, 1251, 1264]"
160,72875470,"[12, 13, 58, 71, 76, 79, 86, 88, 149, 154, 155, 161, 182, 211, 212, 227, 260, 262, 269, 334, 374, 377, 409, 416, 422, 485, 509, 560, 699, 709, 724, 726, 820, 834, 835, 901, 925, 927, 937, 979, 996, 1014, 1015, 1019, 1027, 1033, 1035, 1043, 1044, 1091, 1093, 1152, 1158, 1178, 1217, 1251, 1264, 1279]"
240,104882005,"[18, 58, 74, 76, 79, 86, 88, 112, 119, 155, 161, 182, 192, 193, 205, 211, 212, 227, 259, 262, 328, 350, 351, 374, 409, 414, 416, 422, 430, 467, 483, 485, 538, 560, 568, 569, 587, 630, 631, 643, 655, 662, 699, 708, 710, 724, 726, 728, 830, 832, 834, 837, 838, 901, 908, 909, 917, 918, 919, 925, 926, 937, 944, 947, 979, 993, 994, 996, 1014, 1015, 1019, 1023, 1024, 1033, 1035, 1043, 1044, 1052, 1070, 1078, 1091, 1133, 1158, 1163, 1178, 1181, 1212, 1217, 1239, 1248, 1252, 1264]"
360,107379575,"[12, 13, 18, 58, 71, 74, 76, 79, 86, 88, 91, 112, 155, 156, 161, 182, 192, 193, 211, 212, 222, 227, 261, 268, 269, 296, 347, 350, 351, 354, 356, 367, 368, 374, 376, 409, 413, 414, 416, 421, 422, 436, 437, 452, 463, 464, 466, 472, 485, 489, 509, 513, 559, 568, 569, 576, 587, 598, 613, 614, 619, 644, 662, 699, 705, 708, 710, 724, 727, 735, 747, 773, 799, 834, 837, 901, 908, 912, 918, 919, 925, 929, 944, 947, 979, 994, 996, 1009, 1014, 1015, 1018, 1019, 1020, 1024, 1033, 1035, 1039, 1043, 1044, 1056, 1071, 1091, 1093, 1103, 1158, 1164, 1178, 1214, 1243, 1251, 1252, 1264, 1266, 1279]"
280,111144010,"[12, 13, 53, 58, 59, 71, 74, 76, 79, 112, 118, 119, 155, 161, 171, 192, 193, 211, 212, 217, 218, 222, 227, 269, 270, 310, 335, 347, 348, 351, 360, 374, 409, 413, 414, 422, 430, 463, 485, 489, 509, 513, 538, 559, 569, 599, 601, 609, 619, 620, 631, 644, 662, 691, 699, 724, 747, 751, 820, 830, 834, 870, 894, 901, 908, 917, 920, 925, 927, 933, 937, 943, 944, 978, 979, 996, 997, 1014, 1015, 1017, 1019, 1026, 1033, 1035, 1039, 1043, 1044, 1052, 1061, 1091, 1133, 1146, 1158, 1178, 1181, 1184, 1191, 1212, 1217, 1228, 1236, 1239, 1251, 1252, 1264]"
320,74230725,"[12, 13, 18, 58, 76, 79, 86, 88, 112, 152, 155, 156, 161, 182, 192, 193, 211, 212, 227, 269, 285, 296, 347, 348, 351, 374, 376, 409, 414, 416, 422, 436, 437, 485, 489, 513, 530, 568, 569, 586, 608, 630, 662, 671, 699, 709, 724, 736, 746, 772, 773, 834, 837, 854, 901, 925, 929, 937, 944, 978, 979, 993, 994, 1014, 1015, 1019, 1024, 1043, 1044, 1052, 1091, 1093, 1158, 1178, 1217, 1251, 1252, 1264]"
