budget,job_acc,projects
120,66251295,"[76, 77, 79, 112, 147, 149, 156, 161, 192, 193, 227, 269, 318, 320, 328, 333, 334, 350, 377, 378, 409, 414, 416, 478, 485, 630, 662, 734, 785, 901, 912, 925, 927, 942, 944, 994, 995, 996, 997, 1015, 1033, 1035, 1043, 1044, 1073, 1093, 1162, 1228, 1243, 1247, 1252, 1279]"
200,91714440,"[58, 71, 76, 79, 86, 88, 122, 147, 149, 155, 156, 161, 182, 211, 212, 222, 227, 318, 320, 328, 350, 356, 374, 376, 409, 413, 416, 463, 478, 485, 587, 598, 630, 644, 662, 699, 709, 726, 746, 834, 901, 925, 927, 942, 944, 967, 993, 994, 995, 996, 997, 1026, 1033, 1035, 1039, 1043, 1044, 1052, 1072, 1093, 1158, 1163, 1217, 1243, 1251, 1252, 1264, 1279]"
400,95045200,"[18, 20, 69, 86, 88, 112, 118, 121, 147, 148, 149, 155, 156, 161, 162, 171, 182, 190, 191, 202, 212, 222, 227, 249, 259, 262, 268, 313, 320, 327, 328, 333, 350, 356, 369, 374, 376, 377, 409, 413, 414, 416, 436, 463, 465, 478, 483, 485, 528, 560, 576, 587, 596, 598, 599, 600, 618, 623, 625, 630, 662, 686, 699, 708, 709, 710, 725, 726, 734, 751, 781, 783, 800, 834, 846, 901, 908, 912, 920, 925, 926, 937, 944, 947, 978, 986, 993, 994, 995, 996, 997, 998, 1010, 1014, 1015, 1017, 1020, 1023, 1024, 1026, 1033, 1036, 1039, 1043, 1044, 1056, 1072, 1073, 1078, 1141, 1162, 1164, 1196, 1239, 1243, 1246, 1252, 1273, 1279]"
80,56168195,"[147, 156, 161, 222, 227, 333, 334, 377, 413, 414, 644, 726, 785, 837, 901, 918, 925, 997, 1033, 1035, 1039, 1043, 1044, 1073, 1152, 1162, 1242, 1247, 1251, 1252, 1279]"
40,33662550,"[59, 156, 227, 328, 333, 334, 377, 414, 662, 785, 837, 901, 925, 994, 1073, 1162, 1247, 1252]"
160,84808150,"[76, 79, 112, 147, 149, 155, 156, 161, 192, 193, 211, 212, 222, 223, 227, 269, 320, 333, 334, 350, 377, 378, 409, 413, 414, 416, 630, 644, 709, 717, 725, 726, 734, 785, 901, 912, 925, 927, 993, 994, 995, 996, 997, 1015, 1036, 1039, 1043, 1044, 1052, 1070, 1073, 1093, 1162, 1217, 1228, 1242, 1243, 1247, 1279]"
240,101995335,"[59, 71, 76, 86, 88, 147, 156, 161, 182, 202, 212, 213, 222, 227, 231, 318, 320, 328, 333, 334, 350, 356, 360, 374, 376, 377, 413, 414, 430, 463, 478, 485, 576, 587, 600, 630, 644, 662, 691, 699, 708, 709, 710, 718, 726, 834, 837, 901, 908, 918, 925, 933, 937, 944, 993, 994, 995, 996, 997, 1014, 1015, 1033, 1035, 1039, 1043, 1044, 1052, 1056, 1073, 1093, 1127, 1162, 1228, 1239, 1243, 1247, 1251, 1252]"
360,106845455,"[18, 38, 70, 76, 86, 88, 112, 147, 148, 149, 155, 161, 182, 190, 191, 202, 212, 222, 227, 260, 262, 318, 320, 350, 356, 374, 376, 377, 416, 421, 430, 463, 465, 478, 483, 485, 487, 490, 509, 513, 560, 576, 587, 599, 608, 632, 647, 662, 674, 678, 680, 691, 694, 699, 708, 709, 710, 726, 735, 806, 813, 830, 834, 872, 901, 908, 912, 925, 926, 933, 937, 944, 947, 979, 986, 993, 994, 996, 1017, 1019, 1033, 1035, 1043, 1044, 1053, 1056, 1073, 1091, 1103, 1127, 1141, 1160, 1162, 1163, 1178, 1181, 1212, 1228, 1239, 1243, 1247, 1252, 1279]"
280,93730465,"[58, 71, 76, 112, 147, 148, 149, 155, 156, 161, 190, 191, 202, 212, 222, 227, 268, 283, 313, 320, 333, 334, 350, 351, 356, 374, 376, 409, 416, 463, 478, 483, 485, 576, 587, 600, 601, 630, 662, 699, 708, 709, 710, 735, 834, 837, 901, 908, 912, 925, 926, 937, 942, 944, 947, 967, 993, 994, 996, 997, 1014, 1015, 1024, 1043, 1044, 1073, 1078, 1158, 1162, 1217, 1220, 1243, 1247, 1251, 1252, 1264]"
320,97208500,"[58, 71, 72, 76, 79, 86, 88, 112, 148, 149, 155, 161, 182, 202, 211, 212, 227, 232, 268, 320, 328, 333, 350, 356, 369, 374, 376, 409, 413, 414, 416, 431, 465, 478, 485, 538, 569, 587, 609, 625, 630, 644, 655, 662, 691, 694, 699, 708, 709, 710, 718, 726, 734, 735, 738, 755, 756, 806, 830, 834, 873, 878, 901, 908, 918, 925, 933, 937, 944, 986, 993, 994, 995, 996, 997, 1014, 1015, 1019, 1024, 1033, 1035, 1039, 1044, 1053, 1073, 1078, 1093, 1094, 1127, 1141, 1162, 1164, 1215, 1217, 1247, 1264]"
