budget,job_acc,projects
120,56649725,"[58, 79, 122, 147, 162, 164, 227, 328, 355, 430, 509, 588, 630, 654, 662, 691, 708, 709, 718, 724, 726, 837, 901, 912, 917, 918, 919, 925, 933, 944, 995, 996, 1009, 1015, 1043, 1044, 1052, 1093, 1158, 1164, 1181, 1212, 1217, 1228, 1243, 1264]"
200,85986200,"[18, 58, 79, 86, 88, 155, 161, 182, 227, 328, 354, 374, 376, 409, 413, 416, 430, 463, 478, 569, 588, 599, 609, 632, 644, 691, 694, 708, 709, 717, 724, 726, 734, 743, 901, 918, 925, 933, 937, 942, 944, 967, 993, 994, 996, 1009, 1014, 1015, 1039, 1043, 1044, 1093, 1158, 1164, 1181, 1212, 1217, 1228, 1243, 1247, 1252, 1264]"
400,102717925,"[18, 31, 58, 59, 77, 79, 86, 88, 147, 148, 155, 156, 162, 171, 182, 202, 217, 222, 227, 229, 234, 278, 279, 313, 320, 328, 350, 355, 356, 374, 413, 430, 463, 465, 469, 478, 479, 513, 568, 569, 588, 598, 599, 600, 609, 617, 619, 620, 625, 630, 644, 662, 672, 679, 691, 694, 699, 708, 709, 710, 717, 718, 724, 734, 736, 746, 768, 781, 783, 821, 834, 854, 858, 901, 908, 909, 912, 914, 918, 925, 933, 937, 944, 978, 995, 996, 1009, 1014, 1015, 1023, 1024, 1033, 1035, 1036, 1044, 1056, 1093, 1111, 1127, 1158, 1163, 1164, 1195, 1209, 1212, 1220, 1228, 1243, 1247, 1252, 1264]"
80,51623750,"[58, 79, 155, 161, 227, 320, 328, 355, 374, 709, 718, 724, 837, 901, 917, 925, 937, 979, 993, 994, 1015, 1091, 1093, 1158, 1164, 1177, 1178, 1217, 1228, 1236, 1243, 1247, 1252, 1264]"
40,38339285,"[58, 79, 227, 328, 355, 436, 709, 718, 724, 901, 925, 1015, 1073, 1093, 1158, 1162, 1217, 1247, 1252, 1264]"
160,57066755,"[58, 72, 79, 121, 148, 155, 161, 211, 227, 231, 268, 320, 328, 356, 368, 374, 409, 413, 414, 415, 416, 422, 463, 464, 478, 569, 595, 609, 630, 644, 695, 709, 710, 718, 724, 734, 756, 814, 895, 901, 925, 927, 937, 942, 944, 965, 993, 994, 998, 1039, 1044, 1070, 1093, 1164, 1172, 1217, 1228, 1243, 1247, 1252, 1264, 1273]"
240,82393000,"[18, 58, 79, 86, 88, 161, 182, 211, 212, 222, 227, 320, 328, 353, 354, 374, 376, 413, 430, 463, 469, 478, 490, 569, 588, 595, 630, 632, 674, 684, 685, 691, 694, 699, 708, 709, 718, 724, 734, 736, 743, 834, 901, 919, 925, 933, 937, 967, 993, 994, 995, 996, 997, 1015, 1039, 1043, 1044, 1078, 1084, 1093, 1127, 1158, 1164, 1212, 1217, 1228, 1243, 1264]"
360,96063965,"[18, 58, 71, 79, 86, 88, 155, 161, 162, 164, 180, 182, 211, 212, 222, 227, 278, 320, 327, 328, 350, 353, 355, 356, 360, 366, 374, 409, 413, 416, 430, 463, 465, 569, 576, 587, 588, 598, 600, 617, 629, 656, 685, 691, 694, 695, 708, 709, 718, 724, 726, 735, 736, 746, 768, 839, 840, 858, 901, 908, 909, 925, 933, 937, 944, 958, 986, 993, 994, 995, 996, 997, 1014, 1024, 1033, 1035, 1043, 1044, 1072, 1084, 1093, 1103, 1129, 1141, 1158, 1164, 1181, 1212, 1215, 1217, 1228, 1243, 1247, 1264]"
280,85216635,"[18, 58, 79, 86, 88, 117, 149, 182, 190, 191, 202, 212, 213, 227, 318, 328, 350, 374, 413, 422, 436, 437, 463, 509, 510, 569, 576, 588, 597, 599, 632, 644, 647, 662, 684, 685, 694, 699, 708, 709, 710, 718, 724, 734, 735, 755, 780, 830, 837, 866, 894, 901, 909, 919, 937, 994, 995, 996, 1000, 1024, 1027, 1034, 1044, 1070, 1073, 1078, 1093, 1127, 1158, 1162, 1164, 1217, 1228, 1239, 1242, 1243, 1247, 1251, 1264, 1266]"
320,88967520,"[18, 58, 79, 86, 88, 155, 161, 163, 182, 212, 222, 227, 278, 320, 328, 350, 355, 366, 374, 413, 421, 463, 464, 478, 569, 576, 588, 597, 599, 600, 630, 644, 686, 694, 699, 708, 709, 724, 735, 736, 768, 834, 901, 909, 912, 925, 937, 944, 993, 994, 996, 997, 1014, 1024, 1027, 1033, 1034, 1043, 1044, 1090, 1158, 1164, 1172, 1228, 1243, 1252, 1264, 1274, 1283]"
