allocated,acc,selected
262.8705493138868,98524370,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736]"
270.7622129352741,99617700,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686]"
277.1574569340117,100715720,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617]"
280.6026614727045,101782490,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709]"
286.1711999059989,102816160,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202]"
288.4698987866861,105946140,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708]"
293.9952493524757,107044055,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38]"
300.6328023936277,108068720,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262]"
302.4148089693885,109085800,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997]"
306.0842679919645,110080570,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58]"
312.5762545563269,111082510,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967]"
316.1526673497941,112032425,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738]"
318.6764413104845,112954665,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272]"
335.8602172080549,113849830,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25]"
350.9429712798405,114761620,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24]"
364.5231441373477,115670035,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23]"
380.8337022518125,116608130,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000]"
387.0842449724701,118556680,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780]"
397.3090784109397,120088455,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780, 620]"
399.14763405115013,120919875,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780, 620, 1093]"
399.80456132413894,121439190,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780, 620, 1093, 1217]"
399.81508001050014,121583220,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780, 620, 1093, 1217, 436]"
399.9636828558985,121695490,"[227, 717, 59, 833, 161, 632, 630, 644, 1014, 374, 710, 147, 69, 1279, 1242, 413, 600, 1044, 558, 261, 12, 1024, 576, 912, 18, 1158, 1043, 599, 375, 873, 463, 1152, 616, 356, 485, 741, 260, 747, 163, 736, 686, 617, 709, 202, 708, 38, 262, 997, 58, 967, 738, 272, 25, 24, 23, 1000, 780, 620, 1093, 1217, 436, 409]"
